"","Perc_Exceedance","FLOW","MONTH"
"1801",0.196078431372549,19.8,"Apr"
"1849",0.392156862745098,13.3,"Apr"
"1802",0.588235294117647,11.1,"Apr"
"1848",0.784313725490196,9.7,"Apr"
"1850",0.980392156862745,8.9,"Apr"
"1878",1.17647058823529,8.6,"Apr"
"2040",1.37254901960784,7.9,"Apr"
"1879",1.56862745098039,7.7,"Apr"
"1647",1.76470588235294,7.4,"Apr"
"1720",1.96078431372549,6.8,"Apr"
"1706",2.35294117647059,6.7,"Apr"
"1851",2.35294117647059,6.7,"Apr"
"1847",2.54901960784314,6.4,"Apr"
"2039",2.74509803921569,6.3,"Apr"
"1852",2.94117647058824,5.8,"Apr"
"1846",3.13725490196078,5.6,"Apr"
"1719",3.52941176470588,5.4,"Apr"
"2036",3.52941176470588,5.4,"Apr"
"1709",3.92156862745098,5.3,"Apr"
"1877",3.92156862745098,5.3,"Apr"
"1853",4.11764705882353,5.2,"Apr"
"1803",4.31372549019608,5,"Apr"
"1854",4.50980392156863,4.7,"Apr"
"1696",4.70588235294118,4.6,"Apr"
"1648",5.49019607843137,4.4,"Apr"
"1707",5.49019607843137,4.4,"Apr"
"1710",5.49019607843137,4.4,"Apr"
"1855",5.49019607843137,4.4,"Apr"
"1646",6.07843137254902,4.2,"Apr"
"1856",6.07843137254902,4.2,"Apr"
"1880",6.07843137254902,4.2,"Apr"
"1708",6.66666666666667,4.1,"Apr"
"1740",6.66666666666667,4.1,"Apr"
"1857",6.66666666666667,4.1,"Apr"
"1736",7.05882352941176,4,"Apr"
"1859",7.05882352941176,4,"Apr"
"1721",7.64705882352941,3.9,"Apr"
"1858",7.64705882352941,3.9,"Apr"
"1860",7.64705882352941,3.9,"Apr"
"1705",8.03921568627451,3.8,"Apr"
"1738",8.03921568627451,3.8,"Apr"
"1699",8.82352941176471,3.6,"Apr"
"1737",8.82352941176471,3.6,"Apr"
"1739",8.82352941176471,3.6,"Apr"
"1804",8.82352941176471,3.6,"Apr"
"1722",9.2156862745098,3.4,"Apr"
"1831",9.2156862745098,3.4,"Apr"
"1723",9.80392156862745,3.3,"Apr"
"1724",9.80392156862745,3.3,"Apr"
"1832",9.80392156862745,3.3,"Apr"
"1645",10.3921568627451,3.2,"Apr"
"1833",10.3921568627451,3.2,"Apr"
"1881",10.3921568627451,3.2,"Apr"
"1565",10.9803921568627,3.1,"Apr"
"1725",10.9803921568627,3.1,"Apr"
"1834",10.9803921568627,3.1,"Apr"
"1805",11.9607843137255,3,"Apr"
"1835",11.9607843137255,3,"Apr"
"1836",11.9607843137255,3,"Apr"
"1837",11.9607843137255,3,"Apr"
"1838",11.9607843137255,3,"Apr"
"1649",13.5294117647059,2.9,"Apr"
"1726",13.5294117647059,2.9,"Apr"
"1727",13.5294117647059,2.9,"Apr"
"1728",13.5294117647059,2.9,"Apr"
"1729",13.5294117647059,2.9,"Apr"
"1730",13.5294117647059,2.9,"Apr"
"1735",13.5294117647059,2.9,"Apr"
"1891",13.5294117647059,2.9,"Apr"
"1698",14.7058823529412,2.8,"Apr"
"1731",14.7058823529412,2.8,"Apr"
"1732",14.7058823529412,2.8,"Apr"
"1839",14.7058823529412,2.8,"Apr"
"1845",14.7058823529412,2.8,"Apr"
"2037",14.7058823529412,2.8,"Apr"
"1643",16.6666666666667,2.7,"Apr"
"1733",16.6666666666667,2.7,"Apr"
"1806",16.6666666666667,2.7,"Apr"
"1840",16.6666666666667,2.7,"Apr"
"1841",16.6666666666667,2.7,"Apr"
"1842",16.6666666666667,2.7,"Apr"
"1843",16.6666666666667,2.7,"Apr"
"1882",16.6666666666667,2.7,"Apr"
"1892",16.6666666666667,2.7,"Apr"
"1901",16.6666666666667,2.7,"Apr"
"1589",19.4117647058824,2.6,"Apr"
"1623",19.4117647058824,2.6,"Apr"
"1625",19.4117647058824,2.6,"Apr"
"1626",19.4117647058824,2.6,"Apr"
"1629",19.4117647058824,2.6,"Apr"
"1631",19.4117647058824,2.6,"Apr"
"1633",19.4117647058824,2.6,"Apr"
"1700",19.4117647058824,2.6,"Apr"
"1704",19.4117647058824,2.6,"Apr"
"1734",19.4117647058824,2.6,"Apr"
"1807",19.4117647058824,2.6,"Apr"
"1844",19.4117647058824,2.6,"Apr"
"1893",19.4117647058824,2.6,"Apr"
"2038",19.4117647058824,2.6,"Apr"
"1624",22.5490196078431,2.5,"Apr"
"1627",22.5490196078431,2.5,"Apr"
"1628",22.5490196078431,2.5,"Apr"
"1630",22.5490196078431,2.5,"Apr"
"1632",22.5490196078431,2.5,"Apr"
"1634",22.5490196078431,2.5,"Apr"
"1635",22.5490196078431,2.5,"Apr"
"1636",22.5490196078431,2.5,"Apr"
"1637",22.5490196078431,2.5,"Apr"
"1641",22.5490196078431,2.5,"Apr"
"1697",22.5490196078431,2.5,"Apr"
"1894",22.5490196078431,2.5,"Apr"
"1895",22.5490196078431,2.5,"Apr"
"1900",22.5490196078431,2.5,"Apr"
"1983",22.5490196078431,2.5,"Apr"
"2022",22.5490196078431,2.5,"Apr"
"1638",25.6862745098039,2.4,"Apr"
"1640",25.6862745098039,2.4,"Apr"
"1642",25.6862745098039,2.4,"Apr"
"1644",25.6862745098039,2.4,"Apr"
"1692",25.6862745098039,2.4,"Apr"
"1701",25.6862745098039,2.4,"Apr"
"1808",25.6862745098039,2.4,"Apr"
"1883",25.6862745098039,2.4,"Apr"
"1896",25.6862745098039,2.4,"Apr"
"1902",25.6862745098039,2.4,"Apr"
"1967",25.6862745098039,2.4,"Apr"
"1981",25.6862745098039,2.4,"Apr"
"1982",25.6862745098039,2.4,"Apr"
"1984",25.6862745098039,2.4,"Apr"
"2011",25.6862745098039,2.4,"Apr"
"2012",25.6862745098039,2.4,"Apr"
"1639",28.2352941176471,2.3,"Apr"
"1684",28.2352941176471,2.3,"Apr"
"1702",28.2352941176471,2.3,"Apr"
"1703",28.2352941176471,2.3,"Apr"
"1897",28.2352941176471,2.3,"Apr"
