"","Perc_Exceedance","FLOW","MONTH"
"3636",0.189753320683112,29.9,"Aug"
"3701",0.379506641366224,27.3,"Aug"
"3637",0.569259962049336,21.8,"Aug"
"3702",0.759013282732448,19.9,"Aug"
"3638",0.94876660341556,16,"Aug"
"3639",1.13851992409867,12,"Aug"
"3683",1.32827324478178,11.1,"Aug"
"3882",1.70777988614801,10.7,"Aug"
"3932",1.70777988614801,10.7,"Aug"
"3686",1.89753320683112,10.4,"Aug"
"3687",2.08728652751423,10.1,"Aug"
"4105",2.27703984819734,9.9,"Aug"
"3703",2.46679316888046,9.7,"Aug"
"3839",2.65654648956357,9.5,"Aug"
"3649",3.41555977229602,9,"Aug"
"3786",3.41555977229602,9,"Aug"
"3859",3.41555977229602,9,"Aug"
"4045",3.41555977229602,9,"Aug"
"3625",3.60531309297913,8.9,"Aug"
"3867",3.79506641366224,8.5,"Aug"
"3797",4.17457305502846,8.4,"Aug"
"4126",4.17457305502846,8.4,"Aug"
"3689",4.7438330170778,8.3,"Aug"
"3790",4.7438330170778,8.3,"Aug"
"4106",4.7438330170778,8.3,"Aug"
"3704",4.93358633776091,8.2,"Aug"
"3640",5.50284629981025,8,"Aug"
"3650",5.50284629981025,8,"Aug"
"3659",5.50284629981025,8,"Aug"
"4055",5.69259962049336,7.8,"Aug"
"3693",6.07210626185958,7.7,"Aug"
"3798",6.07210626185958,7.7,"Aug"
"3795",6.26185958254269,7.6,"Aug"
"3619",6.83111954459203,7.5,"Aug"
"3712",6.83111954459203,7.5,"Aug"
"3796",6.83111954459203,7.5,"Aug"
"4046",7.02087286527514,7.4,"Aug"
"3692",7.40037950664137,7.3,"Aug"
"3705",7.40037950664137,7.3,"Aug"
"3697",7.77988614800759,7.2,"Aug"
"4058",7.77988614800759,7.2,"Aug"
"3691",8.15939278937381,7,"Aug"
"3768",8.15939278937381,7,"Aug"
"3612",9.10815939278937,6.9,"Aug"
"3624",9.10815939278937,6.9,"Aug"
"3660",9.10815939278937,6.9,"Aug"
"3688",9.10815939278937,6.9,"Aug"
"3706",9.10815939278937,6.9,"Aug"
"3937",9.29791271347248,6.8,"Aug"
"3817",9.4876660341556,6.7,"Aug"
"3690",9.67741935483871,6.6,"Aug"
"3673",10.0569259962049,6.5,"Aug"
"4107",10.0569259962049,6.5,"Aug"
"3707",10.8159392789374,6.4,"Aug"
"3883",10.8159392789374,6.4,"Aug"
"4032",10.8159392789374,6.4,"Aug"
"4056",10.8159392789374,6.4,"Aug"
"3664",11.3851992409867,6.3,"Aug"
"3694",11.3851992409867,6.3,"Aug"
"3799",11.3851992409867,6.3,"Aug"
"3610",12.3339658444023,6.2,"Aug"
"3620",12.3339658444023,6.2,"Aug"
"3764",12.3339658444023,6.2,"Aug"
"3787",12.3339658444023,6.2,"Aug"
"4029",12.3339658444023,6.2,"Aug"
"3684",14.0417457305503,6.1,"Aug"
"3715",14.0417457305503,6.1,"Aug"
"3716",14.0417457305503,6.1,"Aug"
"3726",14.0417457305503,6.1,"Aug"
"4057",14.0417457305503,6.1,"Aug"
"4064",14.0417457305503,6.1,"Aug"
"4075",14.0417457305503,6.1,"Aug"
"4109",14.0417457305503,6.1,"Aug"
"4129",14.0417457305503,6.1,"Aug"
"3613",15.180265654649,6,"Aug"
"3617",15.180265654649,6,"Aug"
"3663",15.180265654649,6,"Aug"
"3674",15.180265654649,6,"Aug"
"3919",15.180265654649,6,"Aug"
"3971",15.180265654649,6,"Aug"
"3662",16.5085388994307,5.9,"Aug"
"3751",16.5085388994307,5.9,"Aug"
"3818",16.5085388994307,5.9,"Aug"
"3844",16.5085388994307,5.9,"Aug"
"3961",16.5085388994307,5.9,"Aug"
"4127",16.5085388994307,5.9,"Aug"
"4128",16.5085388994307,5.9,"Aug"
"3842",17.2675521821632,5.8,"Aug"
"3880",17.2675521821632,5.8,"Aug"
"3973",17.2675521821632,5.8,"Aug"
"4012",17.2675521821632,5.8,"Aug"
"3696",18.0265654648956,5.7,"Aug"
"3907",18.0265654648956,5.7,"Aug"
"3929",18.0265654648956,5.7,"Aug"
"4120",18.0265654648956,5.7,"Aug"
"3708",19.5445920303605,5.6,"Aug"
"3710",19.5445920303605,5.6,"Aug"
"3720",19.5445920303605,5.6,"Aug"
"3763",19.5445920303605,5.6,"Aug"
"3769",19.5445920303605,5.6,"Aug"
"3816",19.5445920303605,5.6,"Aug"
"4063",19.5445920303605,5.6,"Aug"
"4113",19.5445920303605,5.6,"Aug"
"3641",21.4421252371917,5.5,"Aug"
"3651",21.4421252371917,5.5,"Aug"
"3655",21.4421252371917,5.5,"Aug"
"3661",21.4421252371917,5.5,"Aug"
"3665",21.4421252371917,5.5,"Aug"
"3695",21.4421252371917,5.5,"Aug"
"3789",21.4421252371917,5.5,"Aug"
"4047",21.4421252371917,5.5,"Aug"
"4051",21.4421252371917,5.5,"Aug"
"4112",21.4421252371917,5.5,"Aug"
"3648",23.1499051233397,5.4,"Aug"
"3675",23.1499051233397,5.4,"Aug"
"3711",23.1499051233397,5.4,"Aug"
"3713",23.1499051233397,5.4,"Aug"
"3783",23.1499051233397,5.4,"Aug"
"3793",23.1499051233397,5.4,"Aug"
"3837",23.1499051233397,5.4,"Aug"
"3845",23.1499051233397,5.4,"Aug"
"4059",23.1499051233397,5.4,"Aug"
"3794",25.2371916508539,5.3,"Aug"
"3800",25.2371916508539,5.3,"Aug"
"3820",25.2371916508539,5.3,"Aug"
"3874",25.2371916508539,5.3,"Aug"
"3962",25.2371916508539,5.3,"Aug"
"4035",25.2371916508539,5.3,"Aug"
"4100",25.2371916508539,5.3,"Aug"
"4118",25.2371916508539,5.3,"Aug"
"4121",25.2371916508539,5.3,"Aug"
"4123",25.2371916508539,5.3,"Aug"
"4124",25.2371916508539,5.3,"Aug"
"3752",26.3757115749526,5.2,"Aug"
"3781",26.3757115749526,5.2,"Aug"
"3843",26.3757115749526,5.2,"Aug"
"4044",26.3757115749526,5.2,"Aug"
"4108",26.3757115749526,5.2,"Aug"
"4110",26.3757115749526,5.2,"Aug"
"3626",28.6527514231499,5.1,"Aug"
"3685",28.6527514231499,5.1,"Aug"
"3709",28.6527514231499,5.1,"Aug"
"3780",28.6527514231499,5.1,"Aug"
"3788",28.6527514231499,5.1,"Aug"
"3802",28.6527514231499,5.1,"Aug"
"3819",28.6527514231499,5.1,"Aug"
"3840",28.6527514231499,5.1,"Aug"
"3846",28.6527514231499,5.1,"Aug"
"4030",28.6527514231499,5.1,"Aug"
"4074",28.6527514231499,5.1,"Aug"
"4130",28.6527514231499,5.1,"Aug"
"3646",30.3605313092979,5,"Aug"
"3725",30.3605313092979,5,"Aug"
"3801",30.3605313092979,5,"Aug"
"3821",30.3605313092979,5,"Aug"
"3915",30.3605313092979,5,"Aug"
"4038",30.3605313092979,5,"Aug"
"4050",30.3605313092979,5,"Aug"
"4114",30.3605313092979,5,"Aug"
"4115",30.3605313092979,5,"Aug"
"3606",32.258064516129,4.9,"Aug"
"3611",32.258064516129,4.9,"Aug"
"3654",32.258064516129,4.9,"Aug"
"3719",32.258064516129,4.9,"Aug"
"3721",32.258064516129,4.9,"Aug"
"3858",32.258064516129,4.9,"Aug"
"3868",32.258064516129,4.9,"Aug"
"3916",32.258064516129,4.9,"Aug"
"4111",32.258064516129,4.9,"Aug"
"4122",32.258064516129,4.9,"Aug"
"3614",34.7248576850095,4.8,"Aug"
"3616",34.7248576850095,4.8,"Aug"
"3645",34.7248576850095,4.8,"Aug"
"3647",34.7248576850095,4.8,"Aug"
"3666",34.7248576850095,4.8,"Aug"
"3714",34.7248576850095,4.8,"Aug"
"3717",34.7248576850095,4.8,"Aug"
"3728",34.7248576850095,4.8,"Aug"
"3785",34.7248576850095,4.8,"Aug"
"3792",34.7248576850095,4.8,"Aug"
"3933",34.7248576850095,4.8,"Aug"
"4065",34.7248576850095,4.8,"Aug"
"4131",34.7248576850095,4.8,"Aug"
"3672",35.8633776091082,4.7,"Aug"
"3727",35.8633776091082,4.7,"Aug"
"3782",35.8633776091082,4.7,"Aug"
"3791",35.8633776091082,4.7,"Aug"
"3879",35.8633776091082,4.7,"Aug"
"4060",35.8633776091082,4.7,"Aug"
"3621",38.1404174573055,4.6,"Aug"
"3644",38.1404174573055,4.6,"Aug"
"3653",38.1404174573055,4.6,"Aug"
"3656",38.1404174573055,4.6,"Aug"
"3784",38.1404174573055,4.6,"Aug"
"3917",38.1404174573055,4.6,"Aug"
"3920",38.1404174573055,4.6,"Aug"
"3941",38.1404174573055,4.6,"Aug"
"4019",38.1404174573055,4.6,"Aug"
"4054",38.1404174573055,4.6,"Aug"
"4088",38.1404174573055,4.6,"Aug"
"4125",38.1404174573055,4.6,"Aug"
"3642",41.9354838709677,4.5,"Aug"
"3652",41.9354838709677,4.5,"Aug"
"3676",41.9354838709677,4.5,"Aug"
"3724",41.9354838709677,4.5,"Aug"
