"","Perc_Exceedance","FLOW","MONTH"
"6175",0.189753320683112,60.2,"Dec"
"6115",0.379506641366224,38.9,"Dec"
"5837",0.569259962049336,33.4,"Dec"
"6114",0.759013282732448,33.3,"Dec"
"6176",0.94876660341556,32.3,"Dec"
"5836",1.13851992409867,30.1,"Dec"
"5968",1.32827324478178,28.8,"Dec"
"5927",1.5180265654649,28.1,"Dec"
"6016",1.70777988614801,26.8,"Dec"
"5969",1.89753320683112,26,"Dec"
"5839",2.08728652751423,25.9,"Dec"
"6008",2.27703984819734,25.4,"Dec"
"5691",2.65654648956357,24.3,"Dec"
"5820",2.65654648956357,24.3,"Dec"
"5869",2.84629981024668,24.2,"Dec"
"5835",3.03605313092979,24,"Dec"
"5749",3.2258064516129,23.4,"Dec"
"5901",3.41555977229602,21.3,"Dec"
"5819",3.60531309297913,21.1,"Dec"
"5834",3.79506641366224,19,"Dec"
"6056",3.98481973434535,18.2,"Dec"
"5907",4.17457305502846,17.1,"Dec"
"6007",4.36432637571157,17,"Dec"
"5838",4.93358633776091,16.1,"Dec"
"5928",4.93358633776091,16.1,"Dec"
"5978",4.93358633776091,16.1,"Dec"
"5692",5.31309297912714,16,"Dec"
"6116",5.31309297912714,16,"Dec"
"5870",5.50284629981025,15.6,"Dec"
"5840",5.69259962049336,15.5,"Dec"
"6004",6.07210626185958,15.1,"Dec"
"6125",6.07210626185958,15.1,"Dec"
"5818",6.45161290322581,15,"Dec"
"6017",6.45161290322581,15,"Dec"
"6177",6.64136622390892,14.8,"Dec"
"6106",6.83111954459203,14.7,"Dec"
"5977",7.02087286527514,14.6,"Dec"
"5958",7.21062618595825,14.2,"Dec"
"5750",7.59013282732448,14,"Dec"
"6031",7.59013282732448,14,"Dec"
"5900",7.77988614800759,13.9,"Dec"
"5801",7.9696394686907,13.8,"Dec"
"5802",8.15939278937381,13.7,"Dec"
"5817",8.34914611005693,13.5,"Dec"
"5815",8.91840607210626,13.4,"Dec"
"5902",8.91840607210626,13.4,"Dec"
"6009",8.91840607210626,13.4,"Dec"
"5821",9.10815939278937,13.3,"Dec"
"5762",9.29791271347248,13.2,"Dec"
"5979",9.4876660341556,13.1,"Dec"
"5816",9.86717267552182,12.3,"Dec"
"6005",9.86717267552182,12.3,"Dec"
"5841",10.0569259962049,12.2,"Dec"
"5868",10.246679316888,12.1,"Dec"
"5867",10.4364326375712,11.8,"Dec"
"6015",10.6261859582543,11.7,"Dec"
"5929",11.0056925996205,11.5,"Dec"
"6032",11.0056925996205,11.5,"Dec"
"5908",11.3851992409867,11.3,"Dec"
"6018",11.3851992409867,11.3,"Dec"
"5903",11.5749525616698,11.2,"Dec"
"5871",11.9544592030361,11.1,"Dec"
"5959",11.9544592030361,11.1,"Dec"
"5873",12.1442125237192,11,"Dec"
"5814",12.5237191650854,10.9,"Dec"
"5824",12.5237191650854,10.9,"Dec"
"5970",13.0929791271347,10.8,"Dec"
"6117",13.0929791271347,10.8,"Dec"
"6126",13.0929791271347,10.8,"Dec"
"5822",13.4724857685009,10.4,"Dec"
"5843",13.4724857685009,10.4,"Dec"
"5844",13.6622390891841,10.3,"Dec"
"5842",13.8519924098672,10.2,"Dec"
"5967",14.2314990512334,9.9,"Dec"
"6010",14.2314990512334,9.9,"Dec"
"6006",14.4212523719165,9.8,"Dec"
"5758",14.6110056925996,9.7,"Dec"
"5693",14.9905123339658,9.6,"Dec"
"5909",14.9905123339658,9.6,"Dec"
"5760",15.5597722960152,9.4,"Dec"
"5761",15.5597722960152,9.4,"Dec"
"5866",15.5597722960152,9.4,"Dec"
"5845",15.9392789373814,9.3,"Dec"
"5930",15.9392789373814,9.3,"Dec"
"6019",16.1290322580645,9.2,"Dec"
"5763",16.3187855787476,9.1,"Dec"
"5872",16.888045540797,9,"Dec"
"5980",16.888045540797,9,"Dec"
"5982",16.888045540797,9,"Dec"
"5807",17.4573055028463,8.9,"Dec"
"5825",17.4573055028463,8.9,"Dec"
"6057",17.4573055028463,8.9,"Dec"
"5823",17.8368121442125,8.8,"Dec"
"5904",17.8368121442125,8.8,"Dec"
"6181",18.0265654648956,8.7,"Dec"
"5846",18.4060721062619,8.6,"Dec"
"5971",18.4060721062619,8.6,"Dec"
"5757",18.7855787476281,8.5,"Dec"
"6118",18.7855787476281,8.5,"Dec"
"5751",19.1650853889943,8.4,"Dec"
"5960",19.1650853889943,8.4,"Dec"
"5687",19.7343453510436,8.3,"Dec"
