"","Perc_Exceedance","FLOW","MONTH"
"596",0.210084033613445,40.7,"Feb"
"597",0.420168067226891,29.1,"Feb"
"588",0.630252100840336,26.4,"Feb"
"589",0.840336134453782,26.3,"Feb"
"952",1.05042016806723,25.6,"Feb"
"953",1.26050420168067,21.9,"Feb"
"954",1.47058823529412,18.2,"Feb"
"717",1.68067226890756,17,"Feb"
"595",1.89075630252101,16.3,"Feb"
"590",2.10084033613445,15.5,"Feb"
"598",2.3109243697479,13.2,"Feb"
"951",2.52100840336134,11.4,"Feb"
"955",2.73109243697479,11,"Feb"
"565",3.36134453781513,10,"Feb"
"599",3.36134453781513,10,"Feb"
"716",3.36134453781513,10,"Feb"
"564",3.57142857142857,9.8,"Feb"
"591",3.78151260504202,9.7,"Feb"
"910",3.99159663865546,9.4,"Feb"
"600",4.41176470588235,8.4,"Feb"
"956",4.41176470588235,8.4,"Feb"
"877",4.6218487394958,8.1,"Feb"
"994",4.83193277310924,7.6,"Feb"
"835",5.25210084033613,7.5,"Feb"
"993",5.25210084033613,7.5,"Feb"
"825",5.46218487394958,7.4,"Feb"
"592",5.67226890756303,7.3,"Feb"
"601",5.88235294117647,7.2,"Feb"
"718",6.30252100840336,7,"Feb"
"957",6.30252100840336,7,"Feb"
"602",6.51260504201681,6.4,"Feb"
"846",6.72268907563025,6.3,"Feb"
"867",6.9327731092437,6.2,"Feb"
"593",7.56302521008403,6.1,"Feb"
"622",7.56302521008403,6.1,"Feb"
"635",7.56302521008403,6.1,"Feb"
"958",7.77310924369748,6,"Feb"
"836",7.98319327731092,5.9,"Feb"
"603",8.61344537815126,5.8,"Feb"
"681",8.61344537815126,5.8,"Feb"
"834",8.61344537815126,5.8,"Feb"
"869",8.82352941176471,5.7,"Feb"
"878",9.03361344537815,5.6,"Feb"
"701",9.2436974789916,5.5,"Feb"
"853",9.66386554621849,5.4,"Feb"
"959",9.66386554621849,5.4,"Feb"
"594",10.2941176470588,5.3,"Feb"
"604",10.2941176470588,5.3,"Feb"
"837",10.2941176470588,5.3,"Feb"
"626",10.9243697478992,5.2,"Feb"
"636",10.9243697478992,5.2,"Feb"
"702",10.9243697478992,5.2,"Feb"
"838",11.1344537815126,5.1,"Feb"
"605",11.9747899159664,5,"Feb"
"826",11.9747899159664,5,"Feb"
"854",11.9747899159664,5,"Feb"
"866",11.9747899159664,5,"Feb"
"839",12.8151260504202,4.9,"Feb"
"840",12.8151260504202,4.9,"Feb"
"870",12.8151260504202,4.9,"Feb"
"960",12.8151260504202,4.9,"Feb"
"847",13.6554621848739,4.8,"Feb"
"864",13.6554621848739,4.8,"Feb"
"868",13.6554621848739,4.8,"Feb"
"876",13.6554621848739,4.8,"Feb"
"606",14.4957983193277,4.7,"Feb"
"625",14.4957983193277,4.7,"Feb"
"634",14.4957983193277,4.7,"Feb"
"879",14.4957983193277,4.7,"Feb"
"627",15.7563025210084,4.6,"Feb"
"780",15.7563025210084,4.6,"Feb"
"814",15.7563025210084,4.6,"Feb"
"841",15.7563025210084,4.6,"Feb"
"911",15.7563025210084,4.6,"Feb"
"961",15.7563025210084,4.6,"Feb"
"637",16.5966386554622,4.5,"Feb"
"685",16.5966386554622,4.5,"Feb"
"724",16.5966386554622,4.5,"Feb"
"843",16.5966386554622,4.5,"Feb"
"566",17.436974789916,4.4,"Feb"
"607",17.436974789916,4.4,"Feb"
"842",17.436974789916,4.4,"Feb"
"871",17.436974789916,4.4,"Feb"
"848",18.4873949579832,4.3,"Feb"
"855",18.4873949579832,4.3,"Feb"
"865",18.4873949579832,4.3,"Feb"
"880",18.4873949579832,4.3,"Feb"
"962",18.4873949579832,4.3,"Feb"
"608",19.9579831932773,4.2,"Feb"
"628",19.9579831932773,4.2,"Feb"
"668",19.9579831932773,4.2,"Feb"
"686",19.9579831932773,4.2,"Feb"
"725",19.9579831932773,4.2,"Feb"
"827",19.9579831932773,4.2,"Feb"
"844",19.9579831932773,4.2,"Feb"
"638",21.218487394958,4.1,"Feb"
"781",21.218487394958,4.1,"Feb"
"808",21.218487394958,4.1,"Feb"
"845",21.218487394958,4.1,"Feb"
"856",21.218487394958,4.1,"Feb"
"872",21.218487394958,4.1,"Feb"
"609",23.3193277310924,4,"Feb"
"682",23.3193277310924,4,"Feb"
"719",23.3193277310924,4,"Feb"
"720",23.3193277310924,4,"Feb"
"809",23.3193277310924,4,"Feb"
"849",23.3193277310924,4,"Feb"
"852",23.3193277310924,4,"Feb"
"881",23.3193277310924,4,"Feb"
"963",23.3193277310924,4,"Feb"
"967",23.3193277310924,4,"Feb"
"683",25.6302521008403,3.9,"Feb"
"721",25.6302521008403,3.9,"Feb"
"722",25.6302521008403,3.9,"Feb"
"726",25.6302521008403,3.9,"Feb"
"734",25.6302521008403,3.9,"Feb"
"810",25.6302521008403,3.9,"Feb"
"815",25.6302521008403,3.9,"Feb"
"828",25.6302521008403,3.9,"Feb"
"850",25.6302521008403,3.9,"Feb"
"857",25.6302521008403,3.9,"Feb"
"873",25.6302521008403,3.9,"Feb"
"610",29.6218487394958,3.8,"Feb"
"611",29.6218487394958,3.8,"Feb"
"623",29.6218487394958,3.8,"Feb"
"669",29.6218487394958,3.8,"Feb"
"723",29.6218487394958,3.8,"Feb"
"727",29.6218487394958,3.8,"Feb"
"733",29.6218487394958,3.8,"Feb"
"776",29.6218487394958,3.8,"Feb"
"782",29.6218487394958,3.8,"Feb"
"811",29.6218487394958,3.8,"Feb"
"812",29.6218487394958,3.8,"Feb"
"817",29.6218487394958,3.8,"Feb"
"819",29.6218487394958,3.8,"Feb"
"851",29.6218487394958,3.8,"Feb"
"858",29.6218487394958,3.8,"Feb"
"874",29.6218487394958,3.8,"Feb"
"882",29.6218487394958,3.8,"Feb"
"964",29.6218487394958,3.8,"Feb"
"968",29.6218487394958,3.8,"Feb"
"629",30.8823529411765,3.7,"Feb"
"639",30.8823529411765,3.7,"Feb"
"813",30.8823529411765,3.7,"Feb"
"816",30.8823529411765,3.7,"Feb"
"818",30.8823529411765,3.7,"Feb"
"829",30.8823529411765,3.7,"Feb"
"624",32.563025210084,3.6,"Feb"
"783",32.563025210084,3.6,"Feb"
"820",32.563025210084,3.6,"Feb"
"830",32.563025210084,3.6,"Feb"
"859",32.563025210084,3.6,"Feb"
"875",32.563025210084,3.6,"Feb"
"883",32.563025210084,3.6,"Feb"
"965",32.563025210084,3.6,"Feb"
"680",34.453781512605,3.5,"Feb"
"684",34.453781512605,3.5,"Feb"
"687",34.453781512605,3.5,"Feb"
"703",34.453781512605,3.5,"Feb"
"821",34.453781512605,3.5,"Feb"
"831",34.453781512605,3.5,"Feb"
"884",34.453781512605,3.5,"Feb"
"966",34.453781512605,3.5,"Feb"
"969",34.453781512605,3.5,"Feb"
"670",37.6050420168067,3.4,"Feb"
"672",37.6050420168067,3.4,"Feb"
"673",37.6050420168067,3.4,"Feb"
"730",37.6050420168067,3.4,"Feb"
"753",37.6050420168067,3.4,"Feb"
"784",37.6050420168067,3.4,"Feb"
"822",37.6050420168067,3.4,"Feb"
