"","Perc_Exceedance","FLOW","MONTH"
"358",0.189753320683112,31.2,"Jan"
"387",0.379506641366224,30.4,"Jan"
"507",0.569259962049336,28.9,"Jan"
"359",0.759013282732448,26.2,"Jan"
"350",0.94876660341556,24.1,"Jan"
"200",1.13851992409867,23.6,"Jan"
"360",1.32827324478178,22.1,"Jan"
"201",1.5180265654649,21.9,"Jan"
"307",1.70777988614801,20.1,"Jan"
"257",1.89753320683112,19.6,"Jan"
"357",2.27703984819734,19.2,"Jan"
"388",2.27703984819734,19.2,"Jan"
"509",2.46679316888046,19,"Jan"
"361",2.65654648956357,18.9,"Jan"
"351",2.84629981024668,17.9,"Jan"
"508",3.03605313092979,17.6,"Jan"
"306",3.2258064516129,17.5,"Jan"
"243",3.41555977229602,17.2,"Jan"
"204",3.60531309297913,16.2,"Jan"
"256",3.98481973434535,16.1,"Jan"
"437",3.98481973434535,16.1,"Jan"
"6",4.17457305502846,15.9,"Jan"
"506",4.36432637571157,14.6,"Jan"
"258",4.55407969639469,14.5,"Jan"
"362",4.7438330170778,13.8,"Jan"
"203",4.93358633776091,13.2,"Jan"
"202",5.12333965844402,12.9,"Jan"
"255",5.31309297912714,12.7,"Jan"
"242",5.50284629981025,12.2,"Jan"
"510",5.69259962049336,11.8,"Jan"
"352",5.88235294117647,11.7,"Jan"
"345",6.26185958254269,11.6,"Jan"
"363",6.26185958254269,11.6,"Jan"
"380",6.45161290322581,11.4,"Jan"
"71",6.83111954459203,10.2,"Jan"
"244",6.83111954459203,10.2,"Jan"
"241",7.21062618595825,10.1,"Jan"
"356",7.21062618595825,10.1,"Jan"
"364",7.40037950664137,9.9,"Jan"
"259",7.77988614800759,9.8,"Jan"
"365",7.77988614800759,9.8,"Jan"
"438",7.9696394686907,9.7,"Jan"
"353",8.15939278937381,9.6,"Jan"
"344",8.53889943074004,9.5,"Jan"
"389",8.53889943074004,9.5,"Jan"
"72",8.72865275142315,9.4,"Jan"
"5",9.10815939278937,9.3,"Jan"
"346",9.10815939278937,9.3,"Jan"
"205",9.29791271347248,9,"Jan"
"305",9.4876660341556,8.8,"Jan"
"311",9.86717267552182,8.7,"Jan"
"366",9.86717267552182,8.7,"Jan"
"240",10.246679316888,8.5,"Jan"
"308",10.246679316888,8.5,"Jan"
"112",10.6261859582543,8.4,"Jan"
"354",10.6261859582543,8.4,"Jan"
"219",10.8159392789374,8.3,"Jan"
"125",11.3851992409867,8.1,"Jan"
"490",11.3851992409867,8.1,"Jan"
"511",11.3851992409867,8.1,"Jan"
"342",11.7647058823529,8,"Jan"
"349",11.7647058823529,8,"Jan"
"367",12.1442125237192,7.9,"Jan"
"381",12.1442125237192,7.9,"Jan"
"260",12.7134724857685,7.8,"Jan"
"343",12.7134724857685,7.8,"Jan"
"347",12.7134724857685,7.8,"Jan"
"355",13.0929791271347,7.6,"Jan"
"491",13.0929791271347,7.6,"Jan"
"312",13.2827324478178,7.5,"Jan"
"368",13.6622390891841,7.4,"Jan"
"390",13.6622390891841,7.4,"Jan"
"199",14.0417457305503,7.3,"Jan"
"317",14.0417457305503,7.3,"Jan"
"73",14.4212523719165,7.2,"Jan"
"314",14.4212523719165,7.2,"Jan"
"113",15.180265654649,7.1,"Jan"
"206",15.180265654649,7.1,"Jan"
"348",15.180265654649,7.1,"Jan"
"400",15.180265654649,7.1,"Jan"
"220",15.9392789373814,7,"Jan"
"245",15.9392789373814,7,"Jan"
"313",15.9392789373814,7,"Jan"
"318",15.9392789373814,7,"Jan"
"261",16.6982922201139,6.9,"Jan"
"369",16.6982922201139,6.9,"Jan"
"502",16.6982922201139,6.9,"Jan"
"503",16.6982922201139,6.9,"Jan"
"114",17.0777988614801,6.8,"Jan"
"168",17.0777988614801,6.8,"Jan"
"315",17.2675521821632,6.7,"Jan"
"321",17.6470588235294,6.6,"Jan"
"379",17.6470588235294,6.6,"Jan"
"218",18.2163187855787,6.5,"Jan"
"316",18.2163187855787,6.5,"Jan"
"512",18.2163187855787,6.5,"Jan"
"126",19.1650853889943,6.4,"Jan"
"167",19.1650853889943,6.4,"Jan"
"319",19.1650853889943,6.4,"Jan"
"370",19.1650853889943,6.4,"Jan"
"470",19.1650853889943,6.4,"Jan"
"192",20.4933586337761,6.3,"Jan"
"207",20.4933586337761,6.3,"Jan"
"223",20.4933586337761,6.3,"Jan"
"309",20.4933586337761,6.3,"Jan"
"320",20.4933586337761,6.3,"Jan"
"334",20.4933586337761,6.3,"Jan"
"391",20.4933586337761,6.3,"Jan"
"208",21.0626185958254,6.2,"Jan"
"262",21.0626185958254,6.2,"Jan"
"322",21.0626185958254,6.2,"Jan"
"371",21.6318785578748,6.1,"Jan"
"372",21.6318785578748,6.1,"Jan"
"439",21.6318785578748,6.1,"Jan"
"246",22.011385199241,5.9,"Jan"
"323",22.011385199241,5.9,"Jan"
"7",22.5806451612903,5.8,"Jan"
"127",22.5806451612903,5.8,"Jan"
"221",22.5806451612903,5.8,"Jan"
"128",23.719165085389,5.7,"Jan"
"156",23.719165085389,5.7,"Jan"
"263",23.719165085389,5.7,"Jan"
"324",23.719165085389,5.7,"Jan"
"392",23.719165085389,5.7,"Jan"
"441",23.719165085389,5.7,"Jan"
"75",23.9089184060721,5.6,"Jan"
"169",24.6679316888046,5.5,"Jan"
"325",24.6679316888046,5.5,"Jan"
"399",24.6679316888046,5.5,"Jan"
"513",24.6679316888046,5.5,"Jan"
"326",25.0474383301708,5.4,"Jan"
"403",25.0474383301708,5.4,"Jan"
"159",26.1859582542694,5.3,"Jan"
"264",26.1859582542694,5.3,"Jan"
"327",26.1859582542694,5.3,"Jan"
"333",26.1859582542694,5.3,"Jan"
"382",26.1859582542694,5.3,"Jan"
"386",26.1859582542694,5.3,"Jan"
"70",27.3244781783681,5.2,"Jan"
"224",27.3244781783681,5.2,"Jan"
