"","Perc_Exceedance","FLOW","MONTH"
"3167",0.189753320683112,29.9,"Jul"
"3312",0.379506641366224,13.1,"Jul"
"3429",0.569259962049336,12.5,"Jul"
"3141",0.759013282732448,12,"Jul"
"3485",0.94876660341556,11.7,"Jul"
"3411",1.13851992409867,11.6,"Jul"
"3458",1.32827324478178,11.1,"Jul"
"3140",1.5180265654649,10.8,"Jul"
"3142",1.70777988614801,9.6,"Jul"
"3208",1.89753320683112,8.9,"Jul"
"3433",2.08728652751423,8.8,"Jul"
"3168",2.27703984819734,8.7,"Jul"
"3344",2.46679316888046,8.5,"Jul"
"3143",3.03605313092979,8.3,"Jul"
"3193",3.03605313092979,8.3,"Jul"
"3209",3.03605313092979,8.3,"Jul"
"3242",3.2258064516129,8.1,"Jul"
"3291",3.41555977229602,8,"Jul"
"3175",3.79506641366224,7.9,"Jul"
"3489",3.79506641366224,7.9,"Jul"
"3144",4.36432637571157,7.8,"Jul"
"3204",4.36432637571157,7.8,"Jul"
"3398",4.36432637571157,7.8,"Jul"
"3401",4.55407969639469,7.6,"Jul"
"3288",5.12333965844402,7.4,"Jul"
"3290",5.12333965844402,7.4,"Jul"
"3415",5.12333965844402,7.4,"Jul"
"3279",5.31309297912714,7.3,"Jul"
"3186",5.69259962049336,7.2,"Jul"
"3286",5.69259962049336,7.2,"Jul"
"3245",6.26185958254269,7.1,"Jul"
"3346",6.26185958254269,7.1,"Jul"
"3410",6.26185958254269,7.1,"Jul"
"3187",7.02087286527514,7,"Jul"
"3215",7.02087286527514,7,"Jul"
"3330",7.02087286527514,7,"Jul"
"3468",7.02087286527514,7,"Jul"
"3238",7.59013282732448,6.9,"Jul"
"3393",7.59013282732448,6.9,"Jul"
"3488",7.59013282732448,6.9,"Jul"
"3185",8.15939278937381,6.8,"Jul"
"3336",8.15939278937381,6.8,"Jul"
"3504",8.15939278937381,6.8,"Jul"
"3214",8.72865275142315,6.7,"Jul"
"3292",8.72865275142315,6.7,"Jul"
"3329",8.72865275142315,6.7,"Jul"
"3145",9.29791271347248,6.6,"Jul"
"3295",9.29791271347248,6.6,"Jul"
"3530",9.29791271347248,6.6,"Jul"
"3264",10.0569259962049,6.5,"Jul"
"3289",10.0569259962049,6.5,"Jul"
"3412",10.0569259962049,6.5,"Jul"
"3507",10.0569259962049,6.5,"Jul"
"3177",11.1954459203036,6.4,"Jul"
"3277",11.1954459203036,6.4,"Jul"
"3360",11.1954459203036,6.4,"Jul"
"3470",11.1954459203036,6.4,"Jul"
"3517",11.1954459203036,6.4,"Jul"
"3532",11.1954459203036,6.4,"Jul"
"3521",11.5749525616698,6.3,"Jul"
"3579",11.5749525616698,6.3,"Jul"
"3408",12.1442125237192,6.2,"Jul"
"3450",12.1442125237192,6.2,"Jul"
"3537",12.1442125237192,6.2,"Jul"
"3402",12.3339658444023,6.1,"Jul"
"3148",13.2827324478178,6,"Jul"
"3345",13.2827324478178,6,"Jul"
"3378",13.2827324478178,6,"Jul"
"3403",13.2827324478178,6,"Jul"
"3560",13.2827324478178,6,"Jul"
"3239",14.2314990512334,5.9,"Jul"
"3304",14.2314990512334,5.9,"Jul"
"3313",14.2314990512334,5.9,"Jul"
"3494",14.2314990512334,5.9,"Jul"
"3584",14.2314990512334,5.9,"Jul"
"3146",15.5597722960152,5.8,"Jul"
"3169",15.5597722960152,5.8,"Jul"
"3188",15.5597722960152,5.8,"Jul"
"3287",15.5597722960152,5.8,"Jul"
"3314",15.5597722960152,5.8,"Jul"
"3400",15.5597722960152,5.8,"Jul"
"3593",15.5597722960152,5.8,"Jul"
"3096",16.3187855787476,5.7,"Jul"
"3413",16.3187855787476,5.7,"Jul"
"3492",16.3187855787476,5.7,"Jul"
"3520",16.3187855787476,5.7,"Jul"
"3105",17.0777988614801,5.6,"Jul"
"3396",17.0777988614801,5.6,"Jul"
"3404",17.0777988614801,5.6,"Jul"
"3418",17.0777988614801,5.6,"Jul"
"3135",18.0265654648956,5.5,"Jul"
"3194",18.0265654648956,5.5,"Jul"
"3399",18.0265654648956,5.5,"Jul"
"3552",18.0265654648956,5.5,"Jul"
"3585",18.0265654648956,5.5,"Jul"
"3147",20.303605313093,5.4,"Jul"
"3153",20.303605313093,5.4,"Jul"
"3200",20.303605313093,5.4,"Jul"
"3210",20.303605313093,5.4,"Jul"
"3293",20.303605313093,5.4,"Jul"
"3305",20.303605313093,5.4,"Jul"
"3343",20.303605313093,5.4,"Jul"
"3347",20.303605313093,5.4,"Jul"
"3394",20.303605313093,5.4,"Jul"
"3416",20.303605313093,5.4,"Jul"
"3493",20.303605313093,5.4,"Jul"
"3534",20.303605313093,5.4,"Jul"
"3095",21.4421252371917,5.3,"Jul"
"3216",21.4421252371917,5.3,"Jul"
"3395",21.4421252371917,5.3,"Jul"
"3405",21.4421252371917,5.3,"Jul"
"3414",21.4421252371917,5.3,"Jul"
"3531",21.4421252371917,5.3,"Jul"
"3163",23.1499051233397,5.2,"Jul"
"3243",23.1499051233397,5.2,"Jul"
"3296",23.1499051233397,5.2,"Jul"
"3390",23.1499051233397,5.2,"Jul"
"3406",23.1499051233397,5.2,"Jul"
"3407",23.1499051233397,5.2,"Jul"
"3417",23.1499051233397,5.2,"Jul"
"3438",23.1499051233397,5.2,"Jul"
"3439",23.1499051233397,5.2,"Jul"
"3178",24.6679316888046,5.1,"Jul"
"3195",24.6679316888046,5.1,"Jul"
"3207",24.6679316888046,5.1,"Jul"
"3225",24.6679316888046,5.1,"Jul"
"3369",24.6679316888046,5.1,"Jul"
"3409",24.6679316888046,5.1,"Jul"
"3490",24.6679316888046,5.1,"Jul"
"3538",24.6679316888046,5.1,"Jul"
"3149",26.9449715370019,5,"Jul"
"3265",26.9449715370019,5,"Jul"
"3280",26.9449715370019,5,"Jul"
"3299",26.9449715370019,5,"Jul"
"3361",26.9449715370019,5,"Jul"
"3392",26.9449715370019,5,"Jul"
"3420",26.9449715370019,5,"Jul"
"3451",26.9449715370019,5,"Jul"
"3466",26.9449715370019,5,"Jul"
"3478",26.9449715370019,5,"Jul"
"3518",26.9449715370019,5,"Jul"
"3580",26.9449715370019,5,"Jul"
"3192",28.6527514231499,4.9,"Jul"
"3198",28.6527514231499,4.9,"Jul"
"3199",28.6527514231499,4.9,"Jul"
"3227",28.6527514231499,4.9,"Jul"
"3351",28.6527514231499,4.9,"Jul"
"3397",28.6527514231499,4.9,"Jul"
"3421",28.6527514231499,4.9,"Jul"
"3564",28.6527514231499,4.9,"Jul"
"3594",28.6527514231499,4.9,"Jul"
"3166",30.7400379506641,4.8,"Jul"
"3170",30.7400379506641,4.8,"Jul"
"3184",30.7400379506641,4.8,"Jul"
"3196",30.7400379506641,4.8,"Jul"
"3294",30.7400379506641,4.8,"Jul"
"3354",30.7400379506641,4.8,"Jul"
"3376",30.7400379506641,4.8,"Jul"
"3388",30.7400379506641,4.8,"Jul"
"3513",30.7400379506641,4.8,"Jul"
"3522",30.7400379506641,4.8,"Jul"
"3533",30.7400379506641,4.8,"Jul"
"3189",32.4478178368121,4.7,"Jul"
"3197",32.4478178368121,4.7,"Jul"
"3271",32.4478178368121,4.7,"Jul"
"3274",32.4478178368121,4.7,"Jul"
"3315",32.4478178368121,4.7,"Jul"
"3469",32.4478178368121,4.7,"Jul"
"3527",32.4478178368121,4.7,"Jul"
"3553",32.4478178368121,4.7,"Jul"
"3575",32.4478178368121,4.7,"Jul"
"3156",35.2941176470588,4.6,"Jul"
"3176",35.2941176470588,4.6,"Jul"
"3179",35.2941176470588,4.6,"Jul"
"3246",35.2941176470588,4.6,"Jul"
"3298",35.2941176470588,4.6,"Jul"
"3306",35.2941176470588,4.6,"Jul"
"3389",35.2941176470588,4.6,"Jul"
"3391",35.2941176470588,4.6,"Jul"
"3430",35.2941176470588,4.6,"Jul"
"3495",35.2941176470588,4.6,"Jul"
"3535",35.2941176470588,4.6,"Jul"
"3569",35.2941176470588,4.6,"Jul"
"3574",35.2941176470588,4.6,"Jul"
"3577",35.2941176470588,4.6,"Jul"
"3586",35.2941176470588,4.6,"Jul"
"3150",37.3814041745731,4.5,"Jul"
"3201",37.3814041745731,4.5,"Jul"
"3297",37.3814041745731,4.5,"Jul"
"3379",37.3814041745731,4.5,"Jul"
"3472",37.3814041745731,4.5,"Jul"
"3505",37.3814041745731,4.5,"Jul"
"3516",37.3814041745731,4.5,"Jul"
"3528",37.3814041745731,4.5,"Jul"
"3539",37.3814041745731,4.5,"Jul"
"3541",37.3814041745731,4.5,"Jul"
"3542",37.3814041745731,4.5,"Jul"
"3136",39.2789373814042,4.4,"Jul"
"3151",39.2789373814042,4.4,"Jul"
"3228",39.2789373814042,4.4,"Jul"
"3278",39.2789373814042,4.4,"Jul"
"3348",39.2789373814042,4.4,"Jul"
"3434",39.2789373814042,4.4,"Jul"
"3452",39.2789373814042,4.4,"Jul"
"3471",39.2789373814042,4.4,"Jul"
"3576",39.2789373814042,4.4,"Jul"
"3581",39.2789373814042,4.4,"Jul"
"3211",41.7457305502846,4.3,"Jul"
"3213",41.7457305502846,4.3,"Jul"
"3217",41.7457305502846,4.3,"Jul"
"3226",41.7457305502846,4.3,"Jul"
"3266",41.7457305502846,4.3,"Jul"
"3270",41.7457305502846,4.3,"Jul"
"3316",41.7457305502846,4.3,"Jul"
"3387",41.7457305502846,4.3,"Jul"
"3486",41.7457305502846,4.3,"Jul"
"3508",41.7457305502846,4.3,"Jul"
"3536",41.7457305502846,4.3,"Jul"
"3540",41.7457305502846,4.3,"Jul"
"3561",41.7457305502846,4.3,"Jul"
"3152",45.1612903225806,4.2,"Jul"
"3223",45.1612903225806,4.2,"Jul"
"3237",45.1612903225806,4.2,"Jul"
"3240",45.1612903225806,4.2,"Jul"
"3244",45.1612903225806,4.2,"Jul"
"3268",45.1612903225806,4.2,"Jul"
"3269",45.1612903225806,4.2,"Jul"
"3281",45.1612903225806,4.2,"Jul"
"3300",45.1612903225806,4.2,"Jul"
"3331",45.1612903225806,4.2,"Jul"
"3364",45.1612903225806,4.2,"Jul"
"3479",45.1612903225806,4.2,"Jul"
"3491",45.1612903225806,4.2,"Jul"
"3496",45.1612903225806,4.2,"Jul"
"3523",45.1612903225806,4.2,"Jul"
"3582",45.1612903225806,4.2,"Jul"
"3588",45.1612903225806,4.2,"Jul"
"3604",45.1612903225806,4.2,"Jul"
"3114",48.0075901328273,4.1,"Jul"
"3154",48.0075901328273,4.1,"Jul"
"3190",48.0075901328273,4.1,"Jul"
"3247",48.0075901328273,4.1,"Jul"
"3285",48.0075901328273,4.1,"Jul"
"3355",48.0075901328273,4.1,"Jul"
"3426",48.0075901328273,4.1,"Jul"
"3480",48.0075901328273,4.1,"Jul"
"3487",48.0075901328273,4.1,"Jul"
"3509",48.0075901328273,4.1,"Jul"
"3578",48.0075901328273,4.1,"Jul"
"3583",48.0075901328273,4.1,"Jul"
"3587",48.0075901328273,4.1,"Jul"
"3589",48.0075901328273,4.1,"Jul"
"3603",48.0075901328273,4.1,"Jul"
"3097",51.2333965844402,4,"Jul"
"3191",51.2333965844402,4,"Jul"
"3205",51.2333965844402,4,"Jul"
"3267",51.2333965844402,4,"Jul"
"3272",51.2333965844402,4,"Jul"
"3301",51.2333965844402,4,"Jul"
"3317",51.2333965844402,4,"Jul"
"3332",51.2333965844402,4,"Jul"
"3349",51.2333965844402,4,"Jul"
"3350",51.2333965844402,4,"Jul"
"3362",51.2333965844402,4,"Jul"
"3380",51.2333965844402,4,"Jul"
"3422",51.2333965844402,4,"Jul"
"3515",51.2333965844402,4,"Jul"
"3519",51.2333965844402,4,"Jul"
"3524",51.2333965844402,4,"Jul"
"3546",51.2333965844402,4,"Jul"
"3155",53.3206831119545,3.9,"Jul"
"3183",53.3206831119545,3.9,"Jul"
"3212",53.3206831119545,3.9,"Jul"
"3229",53.3206831119545,3.9,"Jul"
"3230",53.3206831119545,3.9,"Jul"
"3419",53.3206831119545,3.9,"Jul"
"3453",53.3206831119545,3.9,"Jul"
"3467",53.3206831119545,3.9,"Jul"
"3497",53.3206831119545,3.9,"Jul"
"3568",53.3206831119545,3.9,"Jul"
"3595",53.3206831119545,3.9,"Jul"
"3157",56.7362428842505,3.8,"Jul"
"3158",56.7362428842505,3.8,"Jul"
"3161",56.7362428842505,3.8,"Jul"
"3164",56.7362428842505,3.8,"Jul"
