"","Perc_Exceedance","FLOW","MONTH"
"2855",0.196078431372549,17.7,"Jun"
"2806",0.392156862745098,15.2,"Jun"
"2856",0.588235294117647,14.7,"Jun"
"3072",0.784313725490196,12.9,"Jun"
"2654",0.980392156862745,12.4,"Jun"
"2854",1.17647058823529,12.2,"Jun"
"2852",1.37254901960784,11.7,"Jun"
"3068",1.56862745098039,9.8,"Jun"
"3073",1.76470588235294,9.5,"Jun"
"2857",1.96078431372549,9.3,"Jun"
"2678",2.15686274509804,8.8,"Jun"
"2655",2.74509803921569,8.7,"Jun"
"2853",2.74509803921569,8.7,"Jun"
"2957",2.74509803921569,8.7,"Jun"
"2882",3.13725490196078,8.6,"Jun"
"3069",3.13725490196078,8.6,"Jun"
"2628",3.33333333333333,8.5,"Jun"
"2635",3.52941176470588,8,"Jun"
"2869",3.92156862745098,7.9,"Jun"
"2874",3.92156862745098,7.9,"Jun"
"2732",4.31372549019608,7.7,"Jun"
"2805",4.31372549019608,7.7,"Jun"
"2915",4.50980392156863,7.6,"Jun"
"2772",4.70588235294118,7.5,"Jun"
"2807",5.09803921568627,7.4,"Jun"
"2858",5.09803921568627,7.4,"Jun"
"2941",5.49019607843137,7.3,"Jun"
"3074",5.49019607843137,7.3,"Jun"
"2656",6.07843137254902,7,"Jun"
"2851",6.07843137254902,7,"Jun"
"3033",6.07843137254902,7,"Jun"
"2657",6.66666666666667,6.9,"Jun"
"2771",6.66666666666667,6.9,"Jun"
"2994",6.66666666666667,6.9,"Jun"
"2870",7.05882352941176,6.7,"Jun"
"2995",7.05882352941176,6.7,"Jun"
"2868",7.64705882352941,6.6,"Jun"
"2877",7.64705882352941,6.6,"Jun"
"2921",7.64705882352941,6.6,"Jun"
"2804",8.62745098039216,6.5,"Jun"
"2842",8.62745098039216,6.5,"Jun"
"2859",8.62745098039216,6.5,"Jun"
"2887",8.62745098039216,6.5,"Jun"
"2993",8.62745098039216,6.5,"Jun"
"2773",8.82352941176471,6.4,"Jun"
"2849",9.01960784313725,6.3,"Jun"
"2872",9.80392156862745,6.2,"Jun"
"2883",9.80392156862745,6.2,"Jun"
"2951",9.80392156862745,6.2,"Jun"
"2988",9.80392156862745,6.2,"Jun"
"2684",11.1764705882353,6.1,"Jun"
"2755",11.1764705882353,6.1,"Jun"
"2839",11.1764705882353,6.1,"Jun"
"2848",11.1764705882353,6.1,"Jun"
"2871",11.1764705882353,6.1,"Jun"
"2923",11.1764705882353,6.1,"Jun"
"3035",11.1764705882353,6.1,"Jun"
"2841",12.156862745098,6,"Jun"
"2860",12.156862745098,6,"Jun"
"2873",12.156862745098,6,"Jun"
"2875",12.156862745098,6,"Jun"
"3075",12.156862745098,6,"Jun"
"2764",13.1372549019608,5.9,"Jun"
"2786",13.1372549019608,5.9,"Jun"
"2843",13.1372549019608,5.9,"Jun"
"2861",13.1372549019608,5.9,"Jun"
"2996",13.1372549019608,5.9,"Jun"
"2629",14.5098039215686,5.8,"Jun"
"2763",14.5098039215686,5.8,"Jun"
"2845",14.5098039215686,5.8,"Jun"
"2850",14.5098039215686,5.8,"Jun"
"2878",14.5098039215686,5.8,"Jun"
"3037",14.5098039215686,5.8,"Jun"
"3076",14.5098039215686,5.8,"Jun"
"2774",14.9019607843137,5.7,"Jun"
"2876",14.9019607843137,5.7,"Jun"
"2644",15.6862745098039,5.6,"Jun"
"2844",15.6862745098039,5.6,"Jun"
"2866",15.6862745098039,5.6,"Jun"
"2934",15.6862745098039,5.6,"Jun"
"3067",16.2745098039216,5.5,"Jun"
"3070",16.2745098039216,5.5,"Jun"
"3071",16.2745098039216,5.5,"Jun"
"2679",18.4313725490196,5.4,"Jun"
"2725",18.4313725490196,5.4,"Jun"
"2726",18.4313725490196,5.4,"Jun"
"2756",18.4313725490196,5.4,"Jun"
"2765",18.4313725490196,5.4,"Jun"
"2803",18.4313725490196,5.4,"Jun"
"2879",18.4313725490196,5.4,"Jun"
"2880",18.4313725490196,5.4,"Jun"
"2897",18.4313725490196,5.4,"Jun"
"2922",18.4313725490196,5.4,"Jun"
