"","Perc_Exceedance","FLOW","MONTH"
"1522",0.189753320683112,11.6,"Mar"
"1521",0.379506641366224,8,"Mar"
"1473",0.569259962049336,7.4,"Mar"
"1474",0.759013282732448,7,"Mar"
"1325",0.94876660341556,6.4,"Mar"
"1175",1.13851992409867,6.3,"Mar"
"1314",1.32827324478178,5.8,"Mar"
"1176",1.5180265654649,5.6,"Mar"
"1332",1.70777988614801,5.5,"Mar"
"1326",2.08728652751423,5.4,"Mar"
"1523",2.08728652751423,5.4,"Mar"
"1475",2.27703984819734,5.3,"Mar"
"1476",2.46679316888046,5.2,"Mar"
"1477",2.65654648956357,5.1,"Mar"
"1138",3.2258064516129,5,"Mar"
"1315",3.2258064516129,5,"Mar"
"1327",3.2258064516129,5,"Mar"
"1472",3.60531309297913,4.8,"Mar"
"1478",3.60531309297913,4.8,"Mar"
"1319",4.17457305502846,4.7,"Mar"
"1330",4.17457305502846,4.7,"Mar"
"1333",4.17457305502846,4.7,"Mar"
"1316",4.7438330170778,4.6,"Mar"
"1328",4.7438330170778,4.6,"Mar"
"1404",4.7438330170778,4.6,"Mar"
"1321",5.31309297912714,4.5,"Mar"
"1322",5.31309297912714,4.5,"Mar"
"1479",5.31309297912714,4.5,"Mar"
"1320",5.88235294117647,4.4,"Mar"
"1329",5.88235294117647,4.4,"Mar"
"1471",5.88235294117647,4.4,"Mar"
"1097",6.64136622390892,4.3,"Mar"
"1317",6.64136622390892,4.3,"Mar"
"1323",6.64136622390892,4.3,"Mar"
"1334",6.64136622390892,4.3,"Mar"
"1318",7.77988614800759,4.2,"Mar"
"1324",7.77988614800759,4.2,"Mar"
"1331",7.77988614800759,4.2,"Mar"
"1393",7.77988614800759,4.2,"Mar"
"1480",7.77988614800759,4.2,"Mar"
"1524",7.77988614800759,4.2,"Mar"
"1335",7.9696394686907,4.1,"Mar"
"1098",8.53889943074004,4,"Mar"
"1139",8.53889943074004,4,"Mar"
"1481",8.53889943074004,4,"Mar"
"1336",8.91840607210626,3.9,"Mar"
"1504",8.91840607210626,3.9,"Mar"
"1337",9.4876660341556,3.8,"Mar"
"1342",9.4876660341556,3.8,"Mar"
"1482",9.4876660341556,3.8,"Mar"
"1190",10.246679316888,3.7,"Mar"
"1338",10.246679316888,3.7,"Mar"
"1483",10.246679316888,3.7,"Mar"
"1503",10.246679316888,3.7,"Mar"
"1066",11.3851992409867,3.6,"Mar"
"1099",11.3851992409867,3.6,"Mar"
"1191",11.3851992409867,3.6,"Mar"
"1405",11.3851992409867,3.6,"Mar"
"1505",11.3851992409867,3.6,"Mar"
"1525",11.3851992409867,3.6,"Mar"
"1067",12.7134724857685,3.5,"Mar"
"1194",12.7134724857685,3.5,"Mar"
"1339",12.7134724857685,3.5,"Mar"
