"","Perc_Exceedance","FLOW","MONTH"
"2503",0.189753320683112,40.2,"May"
"2372",0.379506641366224,21.5,"May"
"2293",0.569259962049336,20.2,"May"
"2370",0.759013282732448,14.9,"May"
"2373",0.94876660341556,14.5,"May"
"2359",1.13851992409867,14.2,"May"
"2499",1.32827324478178,13.4,"May"
"2371",1.5180265654649,12.4,"May"
"2504",1.70777988614801,12,"May"
"2502",1.89753320683112,11,"May"
"2374",2.08728652751423,9.7,"May"
"2200",2.46679316888046,9,"May"
"2253",2.46679316888046,9,"May"
"2377",2.65654648956357,8.9,"May"
"2367",2.84629981024668,8.7,"May"
"2500",3.03605313092979,8.6,"May"
"2199",3.2258064516129,8.5,"May"
"2294",3.41555977229602,8.4,"May"
"2146",3.60531309297913,8.2,"May"
"2375",3.79506641366224,8.1,"May"
"2128",4.17457305502846,7.7,"May"
"2439",4.17457305502846,7.7,"May"
"2331",4.55407969639469,7.5,"May"
"2368",4.55407969639469,7.5,"May"
"2376",4.93358633776091,7.4,"May"
"2505",4.93358633776091,7.4,"May"
"2360",5.31309297912714,7.2,"May"
"2378",5.31309297912714,7.2,"May"
"2254",5.50284629981025,7.1,"May"
"2562",5.69259962049336,7,"May"
"2379",6.07210626185958,6.9,"May"
"2498",6.07210626185958,6.9,"May"
"2203",6.45161290322581,6.8,"May"
"2467",6.45161290322581,6.8,"May"
"2369",6.64136622390892,6.7,"May"
"2147",6.83111954459203,6.6,"May"
"2348",7.02087286527514,6.5,"May"
"2380",7.21062618595825,6.4,"May"
"2287",7.40037950664137,6.2,"May"
"2132",8.34914611005693,6.1,"May"
"2155",8.34914611005693,6.1,"May"
"2219",8.34914611005693,6.1,"May"
"2357",8.34914611005693,6.1,"May"
"2381",8.34914611005693,6.1,"May"
"2350",8.72865275142315,6,"May"
"2361",8.72865275142315,6,"May"
"2201",9.29791271347248,5.9,"May"
"2501",9.29791271347248,5.9,"May"
"2528",9.29791271347248,5.9,"May"
"2130",9.4876660341556,5.7,"May"
"2138",9.67741935483871,5.6,"May"
"2342",10.0569259962049,5.5,"May"
"2366",10.0569259962049,5.5,"May"
"2250",10.6261859582543,5.4,"May"
"2358",10.6261859582543,5.4,"May"
"2362",10.6261859582543,5.4,"May"
"2129",11.9544592030361,5.3,"May"
"2198",11.9544592030361,5.3,"May"
"2295",11.9544592030361,5.3,"May"
"2346",11.9544592030361,5.3,"May"
"2347",11.9544592030361,5.3,"May"
"2349",11.9544592030361,5.3,"May"
"2468",11.9544592030361,5.3,"May"
"2123",12.3339658444023,5.2,"May"
"2162",12.3339658444023,5.2,"May"
"2149",13.0929791271347,5.1,"May"
"2204",13.0929791271347,5.1,"May"
"2252",13.0929791271347,5.1,"May"
"2343",13.0929791271347,5.1,"May"
"2363",13.8519924098672,5,"May"
"2365",13.8519924098672,5,"May"
"2397",13.8519924098672,5,"May"
"2537",13.8519924098672,5,"May"
