"","Perc_Exceedance","FLOW","MONTH"
"5438",0.196078431372549,52,"Nov"
"5611",0.392156862745098,49.9,"Nov"
"5612",0.588235294117647,45.2,"Nov"
"5610",0.784313725490196,44.5,"Nov"
"5476",0.980392156862745,40.7,"Nov"
"5614",1.17647058823529,35.4,"Nov"
"5426",1.37254901960784,32.6,"Nov"
"5425",1.56862745098039,28.9,"Nov"
"5566",1.76470588235294,27.7,"Nov"
"5607",1.96078431372549,27.5,"Nov"
"5613",2.15686274509804,26.5,"Nov"
"5477",2.35294117647059,26.2,"Nov"
"5575",2.54901960784314,25.1,"Nov"
"5606",2.74509803921569,22.7,"Nov"
"5615",2.94117647058824,22.1,"Nov"
"5565",3.13725490196078,21.4,"Nov"
"5567",3.33333333333333,21.3,"Nov"
"5321",3.52941176470588,19.3,"Nov"
"5437",3.72549019607843,19.2,"Nov"
"5322",4.11764705882353,18.9,"Nov"
"5574",4.11764705882353,18.9,"Nov"
"5475",4.31372549019608,18.7,"Nov"
"5348",4.50980392156863,18.3,"Nov"
"5393",4.70588235294118,17.7,"Nov"
"5483",4.90196078431373,17.6,"Nov"
"5392",5.09803921568627,17.4,"Nov"
"5520",5.29411764705882,17.1,"Nov"
"5294",5.49019607843137,16.8,"Nov"
"5396",5.68627450980392,16.6,"Nov"
"5367",5.88235294117647,16.5,"Nov"
"5609",6.07843137254902,16.4,"Nov"
"5385",6.27450980392157,16.3,"Nov"
"5509",6.47058823529412,15.9,"Nov"
"5178",6.86274509803922,15.4,"Nov"
"5508",6.86274509803922,15.4,"Nov"
"5391",7.05882352941176,15.2,"Nov"
"5478",7.25490196078431,14.6,"Nov"
"5608",7.45098039215686,14.5,"Nov"
"5324",7.64705882352941,14.3,"Nov"
"5616",7.84313725490196,14.1,"Nov"
"5617",8.03921568627451,13.9,"Nov"
"5323",8.43137254901961,13.7,"Nov"
"5384",8.43137254901961,13.7,"Nov"
"5291",8.62745098039216,13.5,"Nov"
"5427",8.82352941176471,13.4,"Nov"
"5399",9.2156862745098,13.1,"Nov"
"5576",9.2156862745098,13.1,"Nov"
"5513",9.41176470588235,13,"Nov"
"5395",9.6078431372549,12.9,"Nov"
"5387",10,12.7,"Nov"
"5578",10,12.7,"Nov"
"5432",10.3921568627451,12.6,"Nov"
"5568",10.3921568627451,12.6,"Nov"
"5400",10.5882352941176,12.5,"Nov"
"5678",10.7843137254902,12.4,"Nov"
"5564",10.9803921568627,12.1,"Nov"
"5230",16.4705882352941,12,"Nov"
"5255",16.4705882352941,12,"Nov"
"5397",16.4705882352941,12,"Nov"
"5649",16.4705882352941,12,"Nov"
"5650",16.4705882352941,12,"Nov"
"5651",16.4705882352941,12,"Nov"
"5652",16.4705882352941,12,"Nov"
"5653",16.4705882352941,12,"Nov"
"5654",16.4705882352941,12,"Nov"
"5655",16.4705882352941,12,"Nov"
"5656",16.4705882352941,12,"Nov"
"5657",16.4705882352941,12,"Nov"
"5658",16.4705882352941,12,"Nov"
"5659",16.4705882352941,12,"Nov"
"5660",16.4705882352941,12,"Nov"
"5661",16.4705882352941,12,"Nov"
"5662",16.4705882352941,12,"Nov"
"5663",16.4705882352941,12,"Nov"
"5664",16.4705882352941,12,"Nov"
"5665",16.4705882352941,12,"Nov"
"5666",16.4705882352941,12,"Nov"
"5667",16.4705882352941,12,"Nov"
"5668",16.4705882352941,12,"Nov"
"5669",16.4705882352941,12,"Nov"
"5670",16.4705882352941,12,"Nov"
"5671",16.4705882352941,12,"Nov"
"5672",16.4705882352941,12,"Nov"
"5673",16.4705882352941,12,"Nov"
"5467",16.8627450980392,11.9,"Nov"
"5484",16.8627450980392,11.9,"Nov"
"5249",17.4509803921569,11.6,"Nov"
"5394",17.4509803921569,11.6,"Nov"
"5590",17.4509803921569,11.6,"Nov"
"5390",17.6470588235294,11.2,"Nov"
"5295",17.843137254902,11.1,"Nov"
"5401",18.0392156862745,11,"Nov"
"5250",18.4313725490196,10.9,"Nov"
"5398",18.4313725490196,10.9,"Nov"
"5289",18.6274509803922,10.8,"Nov"
"5290",19.2156862745098,10.7,"Nov"
"5292",19.2156862745098,10.7,"Nov"
"5479",19.2156862745098,10.7,"Nov"
"5386",19.6078431372549,10.6,"Nov"
"5521",19.6078431372549,10.6,"Nov"
"5618",19.8039215686275,10.3,"Nov"
"5570",20.1960784313725,10.2,"Nov"
