"","Perc_Exceedance","FLOW","MONTH"
"4793",0.189753320683112,40.4,"Oct"
"4794",0.379506641366224,25.8,"Oct"
"5091",0.569259962049336,23.2,"Oct"
"4718",0.759013282732448,16.7,"Oct"
"5090",0.94876660341556,16.4,"Oct"
"4795",1.13851992409867,15.6,"Oct"
"5088",1.32827324478178,15.4,"Oct"
"4846",1.5180265654649,15.1,"Oct"
"5054",1.70777988614801,14.9,"Oct"
"5092",1.89753320683112,14.8,"Oct"
"4944",2.08728652751423,14.7,"Oct"
"5003",2.27703984819734,14.3,"Oct"
"4745",2.46679316888046,13.7,"Oct"
"4719",2.65654648956357,13,"Oct"
"5089",2.84629981024668,12.7,"Oct"
"5163",3.98481973434535,12,"Oct"
"5164",3.98481973434535,12,"Oct"
"5165",3.98481973434535,12,"Oct"
"5166",3.98481973434535,12,"Oct"
"5167",3.98481973434535,12,"Oct"
"5168",3.98481973434535,12,"Oct"
"4796",4.17457305502846,11.8,"Oct"
"5078",4.36432637571157,11.7,"Oct"
"4888",4.55407969639469,11.5,"Oct"
"4652",4.7438330170778,11.4,"Oct"
"4815",4.93358633776091,11,"Oct"
"4653",5.69259962049336,10.9,"Oct"
"4748",5.69259962049336,10.9,"Oct"
"4929",5.69259962049336,10.9,"Oct"
"5097",5.69259962049336,10.9,"Oct"
"5004",6.07210626185958,10.8,"Oct"
"5093",6.07210626185958,10.8,"Oct"
"4651",6.45161290322581,10.7,"Oct"
"4753",6.45161290322581,10.7,"Oct"
"5056",6.64136622390892,10.5,"Oct"
"4984",6.83111954459203,10.3,"Oct"
"4754",7.21062618595825,10.2,"Oct"
"5002",7.21062618595825,10.2,"Oct"
"5055",7.40037950664137,9.9,"Oct"
"4688",7.77988614800759,9.8,"Oct"
"5087",7.77988614800759,9.8,"Oct"
"4942",8.15939278937381,9.7,"Oct"
"5096",8.15939278937381,9.7,"Oct"
"4945",8.34914611005693,9.6,"Oct"
"4939",8.53889943074004,9.5,"Oct"
"4711",9.10815939278937,9.3,"Oct"
"4940",9.10815939278937,9.3,"Oct"
"5007",9.10815939278937,9.3,"Oct"
"4750",9.29791271347248,9.2,"Oct"
"4673",9.67741935483871,9.1,"Oct"
"4744",9.67741935483871,9.1,"Oct"
"4656",10.0569259962049,8.9,"Oct"
"5094",10.0569259962049,8.9,"Oct"
"4674",10.8159392789374,8.7,"Oct"
"4814",10.8159392789374,8.7,"Oct"
"5005",10.8159392789374,8.7,"Oct"
"5008",10.8159392789374,8.7,"Oct"
"4708",11.3851992409867,8.6,"Oct"
"4822",11.3851992409867,8.6,"Oct"
"5083",11.3851992409867,8.6,"Oct"
"4926",11.5749525616698,8.5,"Oct"
"4756",11.9544592030361,8.4,"Oct"
"4821",11.9544592030361,8.4,"Oct"
"4812",12.3339658444023,8.3,"Oct"
"4813",12.3339658444023,8.3,"Oct"
"4654",13.4724857685009,8.2,"Oct"
"4746",13.4724857685009,8.2,"Oct"
"4752",13.4724857685009,8.2,"Oct"
"4792",13.4724857685009,8.2,"Oct"
"5053",13.4724857685009,8.2,"Oct"
"5098",13.4724857685009,8.2,"Oct"
"4947",13.6622390891841,8.1,"Oct"
"4816",13.8519924098672,8,"Oct"
"4743",14.0417457305503,7.9,"Oct"
"4647",14.8007590132827,7.8,"Oct"
"4684",14.8007590132827,7.8,"Oct"
"4687",14.8007590132827,7.8,"Oct"
"4689",14.8007590132827,7.8,"Oct"
"4679",15.7495256166983,7.7,"Oct"
"4722",15.7495256166983,7.7,"Oct"
"4749",15.7495256166983,7.7,"Oct"
"4820",15.7495256166983,7.7,"Oct"
"4901",15.7495256166983,7.7,"Oct"
"4704",17.4573055028463,7.6,"Oct"
"4751",17.4573055028463,7.6,"Oct"
"4927",17.4573055028463,7.6,"Oct"
"4941",17.4573055028463,7.6,"Oct"
"4946",17.4573055028463,7.6,"Oct"
"4948",17.4573055028463,7.6,"Oct"
"4985",17.4573055028463,7.6,"Oct"
"5079",17.4573055028463,7.6,"Oct"
"5095",17.4573055028463,7.6,"Oct"
"4676",18.4060721062619,7.5,"Oct"
"4717",18.4060721062619,7.5,"Oct"
"4777",18.4060721062619,7.5,"Oct"
"4920",18.4060721062619,7.5,"Oct"
"5024",18.4060721062619,7.5,"Oct"
"4680",19.3548387096774,7.4,"Oct"
"4721",19.3548387096774,7.4,"Oct"
"4856",19.3548387096774,7.4,"Oct"
"4882",19.3548387096774,7.4,"Oct"
"4996",19.3548387096774,7.4,"Oct"
"4683",20.1138519924099,7.3,"Oct"
"4685",20.1138519924099,7.3,"Oct"
"4747",20.1138519924099,7.3,"Oct"
"4889",20.1138519924099,7.3,"Oct"
"4857",20.8728652751423,7.2,"Oct"
"4925",20.8728652751423,7.2,"Oct"
"4928",20.8728652751423,7.2,"Oct"
"5077",20.8728652751423,7.2,"Oct"
