"","Perc_Exceedance","FLOW","MONTH"
"4640",0.196078431372549,35,"Sep"
"4189",0.392156862745098,15.5,"Sep"
"4534",0.588235294117647,14.2,"Sep"
"4639",0.784313725490196,12.9,"Sep"
"4489",0.980392156862745,12.8,"Sep"
"4524",1.17647058823529,12.1,"Sep"
"4624",1.37254901960784,11.7,"Sep"
"4188",1.76470588235294,11.5,"Sep"
"4530",1.76470588235294,11.5,"Sep"
"4285",1.96078431372549,11.3,"Sep"
"4183",2.15686274509804,10.7,"Sep"
"4190",2.35294117647059,10.4,"Sep"
"4531",2.54901960784314,10.3,"Sep"
"4422",2.74509803921569,10.1,"Sep"
"4217",2.94117647058824,10,"Sep"
"4438",3.13725490196078,9.9,"Sep"
"4216",3.52941176470588,9.8,"Sep"
"4421",3.52941176470588,9.8,"Sep"
"4526",3.72549019607843,9.6,"Sep"
"4237",4.11764705882353,9.3,"Sep"
"4399",4.11764705882353,9.3,"Sep"
"4313",4.50980392156863,9.2,"Sep"
"4425",4.50980392156863,9.2,"Sep"
"4641",4.70588235294118,8.9,"Sep"
"4398",5.09803921568627,8.8,"Sep"
"4416",5.09803921568627,8.8,"Sep"
"4320",5.49019607843137,8.7,"Sep"
"4417",5.49019607843137,8.7,"Sep"
"4440",5.88235294117647,8.5,"Sep"
"4491",5.88235294117647,8.5,"Sep"
"4412",6.27450980392157,8.4,"Sep"
"4414",6.27450980392157,8.4,"Sep"
"4181",6.86274509803922,8.3,"Sep"
"4247",6.86274509803922,8.3,"Sep"
"4423",6.86274509803922,8.3,"Sep"
"4350",7.05882352941176,8.2,"Sep"
"4437",7.25490196078431,8.1,"Sep"
"4218",8.03921568627451,8,"Sep"
"4239",8.03921568627451,8,"Sep"
"4418",8.03921568627451,8,"Sep"
"4459",8.03921568627451,8,"Sep"
"4407",8.23529411764706,7.9,"Sep"
"4232",8.62745098039216,7.8,"Sep"
"4430",8.62745098039216,7.8,"Sep"
"4542",8.82352941176471,7.7,"Sep"
"4240",9.2156862745098,7.6,"Sep"
"4424",9.2156862745098,7.6,"Sep"
"4184",9.80392156862745,7.4,"Sep"
"4191",9.80392156862745,7.4,"Sep"
"4213",9.80392156862745,7.4,"Sep"
"4197",10.3921568627451,7.3,"Sep"
"4221",10.3921568627451,7.3,"Sep"
"4419",10.3921568627451,7.3,"Sep"
"4155",11.1764705882353,7.2,"Sep"
"4241",11.1764705882353,7.2,"Sep"
"4538",11.1764705882353,7.2,"Sep"
"4632",11.1764705882353,7.2,"Sep"
"4286",12.156862745098,7.1,"Sep"
"4532",12.156862745098,7.1,"Sep"
"4535",12.156862745098,7.1,"Sep"
"4540",12.156862745098,7.1,"Sep"
"4636",12.156862745098,7.1,"Sep"
"4170",13.3333333333333,7,"Sep"
"4249",13.3333333333333,7,"Sep"
"4250",13.3333333333333,7,"Sep"
"4452",13.3333333333333,7,"Sep"
"4537",13.3333333333333,7,"Sep"
"4592",13.3333333333333,7,"Sep"
"4625",14.1176470588235,6.9,"Sep"
"4633",14.1176470588235,6.9,"Sep"
"4635",14.1176470588235,6.9,"Sep"
"4637",14.1176470588235,6.9,"Sep"
"4242",15.2941176470588,6.8,"Sep"
"4248",15.2941176470588,6.8,"Sep"
"4288",15.2941176470588,6.8,"Sep"
"4289",15.2941176470588,6.8,"Sep"
"4426",15.2941176470588,6.8,"Sep"
"4626",15.2941176470588,6.8,"Sep"
"4228",16.2745098039216,6.7,"Sep"
"4276",16.2745098039216,6.7,"Sep"
"4428",16.2745098039216,6.7,"Sep"
"4612",16.2745098039216,6.7,"Sep"
"4638",16.2745098039216,6.7,"Sep"
"4175",18.4313725490196,6.6,"Sep"
"4263",18.4313725490196,6.6,"Sep"
"4314",18.4313725490196,6.6,"Sep"
"4348",18.4313725490196,6.6,"Sep"
"4365",18.4313725490196,6.6,"Sep"
"4439",18.4313725490196,6.6,"Sep"
"4442",18.4313725490196,6.6,"Sep"
"4568",18.4313725490196,6.6,"Sep"
"4580",18.4313725490196,6.6,"Sep"
"4630",18.4313725490196,6.6,"Sep"
"4634",18.4313725490196,6.6,"Sep"
"4332",19.0196078431373,6.5,"Sep"
"4431",19.0196078431373,6.5,"Sep"
"4539",19.0196078431373,6.5,"Sep"
"4186",20.5882352941176,6.4,"Sep"
"4243",20.5882352941176,6.4,"Sep"
"4246",20.5882352941176,6.4,"Sep"
"4378",20.5882352941176,6.4,"Sep"
"4408",20.5882352941176,6.4,"Sep"
"4427",20.5882352941176,6.4,"Sep"
"4441",20.5882352941176,6.4,"Sep"
"4577",20.5882352941176,6.4,"Sep"
"4182",21.5686274509804,6.3,"Sep"
"4187",21.5686274509804,6.3,"Sep"
"4303",21.5686274509804,6.3,"Sep"
"4415",21.5686274509804,6.3,"Sep"
"4578",21.5686274509804,6.3,"Sep"
"4262",22.9411764705882,6.1,"Sep"
"4279",22.9411764705882,6.1,"Sep"
"4282",22.9411764705882,6.1,"Sep"
"4306",22.9411764705882,6.1,"Sep"
"4328",22.9411764705882,6.1,"Sep"
"4420",22.9411764705882,6.1,"Sep"
"4453",22.9411764705882,6.1,"Sep"
"4173",24.1176470588235,6,"Sep"
"4238",24.1176470588235,6,"Sep"
"4244",24.1176470588235,6,"Sep"
"4400",24.1176470588235,6,"Sep"
"4527",24.1176470588235,6,"Sep"
"4544",24.1176470588235,6,"Sep"
"4172",25.6862745098039,5.9,"Sep"
"4198",25.6862745098039,5.9,"Sep"
"4290",25.6862745098039,5.9,"Sep"
"4490",25.6862745098039,5.9,"Sep"
"4528",25.6862745098039,5.9,"Sep"
"4549",25.6862745098039,5.9,"Sep"
"4581",25.6862745098039,5.9,"Sep"
"4627",25.6862745098039,5.9,"Sep"
"4199",26.4705882352941,5.8,"Sep"
"4302",26.4705882352941,5.8,"Sep"
"4307",26.4705882352941,5.8,"Sep"
"4315",26.4705882352941,5.8,"Sep"
"4429",27.2549019607843,5.7,"Sep"
"4525",27.2549019607843,5.7,"Sep"
"4572",27.2549019607843,5.7,"Sep"
"4579",27.2549019607843,5.7,"Sep"
"4200",29.6078431372549,5.6,"Sep"
"4206",29.6078431372549,5.6,"Sep"
"4208",29.6078431372549,5.6,"Sep"
"4219",29.6078431372549,5.6,"Sep"
"4225",29.6078431372549,5.6,"Sep"
"4245",29.6078431372549,5.6,"Sep"
"4308",29.6078431372549,5.6,"Sep"
"4372",29.6078431372549,5.6,"Sep"
"4444",29.6078431372549,5.6,"Sep"
"4533",29.6078431372549,5.6,"Sep"
"4536",29.6078431372549,5.6,"Sep"
"4543",29.6078431372549,5.6,"Sep"
"4174",32.156862745098,5.5,"Sep"
"4180",32.156862745098,5.5,"Sep"
"4185",32.156862745098,5.5,"Sep"
"4214",32.156862745098,5.5,"Sep"
"4251",32.156862745098,5.5,"Sep"
"4287",32.156862745098,5.5,"Sep"
"4326",32.156862745098,5.5,"Sep"
"4374",32.156862745098,5.5,"Sep"
"4445",32.156862745098,5.5,"Sep"
"4448",32.156862745098,5.5,"Sep"
"4500",32.156862745098,5.5,"Sep"
"4605",32.156862745098,5.5,"Sep"
"4628",32.156862745098,5.5,"Sep"
"4291",33.3333333333333,5.4,"Sep"
"4304",33.3333333333333,5.4,"Sep"
"4327",33.3333333333333,5.4,"Sep"
"4331",33.3333333333333,5.4,"Sep"
"4371",33.3333333333333,5.4,"Sep"
"4446",33.3333333333333,5.4,"Sep"
"4192",34.5098039215686,5.3,"Sep"
"4311",34.5098039215686,5.3,"Sep"
"4354",34.5098039215686,5.3,"Sep"
"4460",34.5098039215686,5.3,"Sep"
"4541",34.5098039215686,5.3,"Sep"
"4631",34.5098039215686,5.3,"Sep"
"4205",36.4705882352941,5.2,"Sep"
"4255",36.4705882352941,5.2,"Sep"
"4271",36.4705882352941,5.2,"Sep"
"4309",36.4705882352941,5.2,"Sep"
"4310",36.4705882352941,5.2,"Sep"
"4443",36.4705882352941,5.2,"Sep"
"4512",36.4705882352941,5.2,"Sep"
"4574",36.4705882352941,5.2,"Sep"
"4623",36.4705882352941,5.2,"Sep"
"4629",36.4705882352941,5.2,"Sep"
"4156",39.0196078431373,5.1,"Sep"
"4169",39.0196078431373,5.1,"Sep"
"4195",39.0196078431373,5.1,"Sep"
"4220",39.0196078431373,5.1,"Sep"
"4260",39.0196078431373,5.1,"Sep"
"4274",39.0196078431373,5.1,"Sep"
"4283",39.0196078431373,5.1,"Sep"
"4316",39.0196078431373,5.1,"Sep"
"4379",39.0196078431373,5.1,"Sep"
"4454",39.0196078431373,5.1,"Sep"
"4461",39.0196078431373,5.1,"Sep"
"4511",39.0196078431373,5.1,"Sep"
"4613",39.0196078431373,5.1,"Sep"
"4168",41.1764705882353,5,"Sep"
"4176",41.1764705882353,5,"Sep"
"4179",41.1764705882353,5,"Sep"
"4194",41.1764705882353,5,"Sep"
"4264",41.1764705882353,5,"Sep"
"4299",41.1764705882353,5,"Sep"
"4317",41.1764705882353,5,"Sep"
"4550",41.1764705882353,5,"Sep"
"4557",41.1764705882353,5,"Sep"
"4569",41.1764705882353,5,"Sep"
"4617",41.1764705882353,5,"Sep"
"4193",43.5294117647059,4.9,"Sep"
"4201",43.5294117647059,4.9,"Sep"
"4210",43.5294117647059,4.9,"Sep"
"4229",43.5294117647059,4.9,"Sep"
"4233",43.5294117647059,4.9,"Sep"
"4292",43.5294117647059,4.9,"Sep"
"4301",43.5294117647059,4.9,"Sep"
"4318",43.5294117647059,4.9,"Sep"
"4325",43.5294117647059,4.9,"Sep"
"4329",43.5294117647059,4.9,"Sep"
"4384",43.5294117647059,4.9,"Sep"
"4396",43.5294117647059,4.9,"Sep"
"4257",46.078431372549,4.8,"Sep"
"4268",46.078431372549,4.8,"Sep"
"4296",46.078431372549,4.8,"Sep"
"4298",46.078431372549,4.8,"Sep"
"4312",46.078431372549,4.8,"Sep"
"4319",46.078431372549,4.8,"Sep"
"4333",46.078431372549,4.8,"Sep"
"4351",46.078431372549,4.8,"Sep"
"4373",46.078431372549,4.8,"Sep"
"4401",46.078431372549,4.8,"Sep"
"4450",46.078431372549,4.8,"Sep"
"4482",46.078431372549,4.8,"Sep"
"4560",46.078431372549,4.8,"Sep"
"4196",48.2352941176471,4.7,"Sep"
"4207",48.2352941176471,4.7,"Sep"
"4209",48.2352941176471,4.7,"Sep"
"4215",48.2352941176471,4.7,"Sep"
"4258",48.2352941176471,4.7,"Sep"
"4300",48.2352941176471,4.7,"Sep"
"4330",48.2352941176471,4.7,"Sep"
"4341",48.2352941176471,4.7,"Sep"
"4370",48.2352941176471,4.7,"Sep"
"4451",48.2352941176471,4.7,"Sep"
"4614",48.2352941176471,4.7,"Sep"
"4167",52.156862745098,4.6,"Sep"
"4224",52.156862745098,4.6,"Sep"
"4256",52.156862745098,4.6,"Sep"
"4265",52.156862745098,4.6,"Sep"
"4266",52.156862745098,4.6,"Sep"
"4267",52.156862745098,4.6,"Sep"
"4284",52.156862745098,4.6,"Sep"
"4293",52.156862745098,4.6,"Sep"
"4297",52.156862745098,4.6,"Sep"
"4305",52.156862745098,4.6,"Sep"
"4349",52.156862745098,4.6,"Sep"
"4355",52.156862745098,4.6,"Sep"
"4375",52.156862745098,4.6,"Sep"
"4380",52.156862745098,4.6,"Sep"
"4409",52.156862745098,4.6,"Sep"
"4447",52.156862745098,4.6,"Sep"
"4522",52.156862745098,4.6,"Sep"
"4529",52.156862745098,4.6,"Sep"
"4545",52.156862745098,4.6,"Sep"
"4555",52.156862745098,4.6,"Sep"
"4178",54.3137254901961,4.5,"Sep"
"4230",54.3137254901961,4.5,"Sep"
"4259",54.3137254901961,4.5,"Sep"
"4261",54.3137254901961,4.5,"Sep"
"4270",54.3137254901961,4.5,"Sep"
"4334",54.3137254901961,4.5,"Sep"
"4449",54.3137254901961,4.5,"Sep"
"4455",54.3137254901961,4.5,"Sep"
"4551",54.3137254901961,4.5,"Sep"
"4556",54.3137254901961,4.5,"Sep"
"4575",54.3137254901961,4.5,"Sep"
