"","year","mean.FLOW","median.FLOW","min.FLOW","max.FLOW","PROB"
"8",2001,4.365,3.3,1.1,21.3,0.056
"7",2000,4.666,3.9,1.6,24.2,0.111
"1",1994,2.936,2.3,0.8,24.3,0.167
"16",2009,3.704,3.3,1.8,25.6,0.222
"4",1997,4.422,3.8,1.5,27.3,0.278
"14",2007,4.125,3.3,1.1,27.7,0.333
"10",2003,4.885,4,1.5,28.8,0.389
"2",1995,3.259,2.3,0.6,29.9,0.444
"13",2006,3.565,3,1.6,30.4,0.5
"12",2005,4.803,3.7,1.3,31.2,0.556
"6",1999,4.971,4.2,2,33.4,0.611
"5",1998,3.961,3.2,1,40.4,0.667
"3",1996,5.336,4.5,1.3,40.7,0.722
"11",2004,5.905,5,2.6,40.7,0.778
"15",2008,5.452,4,1.3,49.9,0.833
"9",2002,4.369,3.6,1.2,52,0.889
"17",2010,5.279,4,0.9,60.2,0.944
