"","BASEFLOW","QUICKFLOW"
"1",1.833,0
"2",1.861,0.539
"3",1.888,0.612
"4",1.914,0.686
"5",1.95,7.35
"6",2.007,13.893
"7",2.073,3.727
"8",2.128,2.372
"9",2.173,1.727
"10",2.207,1.193
"11",2.234,0.966
"12",2.255,0.845
"13",2.271,0.729
"14",2.283,0.517
"15",2.291,0.609
"16",2.296,0.904
"17",2.298,0.502
"18",2.265,0.435
"19",2.234,0.366
"20",2.204,0.396
"21",2.176,0.324
"22",2.15,0.35
"23",2.125,0.275
"24",2.103,0.297
"25",2.079,0.321
"26",2.053,0.347
"27",2.029,0.271
"28",2.007,0.293
"29",1.983,0.317
"30",1.957,0.343
"31",1.934,0.266
"32",1.912,0.288
"33",1.893,0.207
"34",1.876,0.224
"35",1.858,0.242
"36",1.838,0.262
"37",1.817,0.283
"38",1.794,0.306
"39",1.768,0.632
"40",1.741,0.359
"41",1.716,0.284
"42",1.693,0.307
"43",1.668,0.332
"44",1.641,0.359
"45",1.616,0.284
"46",1.593,0.307
"47",1.568,0.332
"48",1.546,0.254
"49",1.525,0.375
"50",1.502,0.398
"51",1.477,0.323
"52",1.451,0.349
"53",1.423,0.377
"54",1.392,0.408
"55",1.359,0.441
"56",1.323,0.477
"57",1.285,0.515
"58",1.243,0.557
"59",1.198,0.602
"60",1.149,0.651
"61",1.1,0.6
"62",1.072,0.128
"63",1.061,0.439
"64",1.053,0.047
"65",1.049,0.151
"66",1.044,0.556
"67",1.037,0.163
"68",1.03,0.07
"69",1.024,0.076
"70",1.018,0.082
"71",1.011,0.089
"72",1.004,0.096
"73",1,0
"74",1,0.1
"75",1.001,0.099
"76",1.001,0.099
"77",1.002,0.098
"78",1.002,0.098
"79",1.002,0.098
"80",1.001,0.099
"81",1,0
"82",1,0
"83",1,0
"84",1,0.1
"85",1.001,0.099
"86",1.002,0.098
"87",1.003,0.097
"88",1.005,0.395
"89",1.006,0.294
"90",1.007,0.093
"91",1.007,0.093
"92",1.007,0.193
"93",1,0.1
"94",0.993,0.107
"95",0.989,0.011
"96",0.988,0.012
"97",0.987,0.013
"98",0.986,0.114
"99",0.985,0.015
"100",0.984,0.016
"101",0.983,0.017
"102",0.981,0.019
"103",0.98,0.02
"104",0.978,0.022
"105",0.976,0.024
"106",0.974,0.026
"107",0.972,0.028
"108",0.97,0.03
"109",0.967,0.033
"110",0.965,0.035
"111",0.962,0.038
"112",0.959,0.041
"113",0.955,0.045
"114",0.952,0.248
"115",0.947,0.153
"116",0.941,0.059
"117",0.937,0.063
"118",0.93,0.97
"119",0.919,1.281
"120",0.901,0.499
"121",0.879,0.521
"122",0.858,0.242
"123",0.839,0.261
"124",0.821,0.179
"125",0.811,0.089
"126",0.804,0.096
"127",0.8,0
"128",0.8,0
"129",0.8,0
"130",0.8,0.1
"131",0.8,0
"132",0.8,0.2
"133",0.801,0.199
"134",0.804,0.296
"135",0.807,0.393
"136",0.812,0.388
"137",0.818,0.182
"138",0.825,0.175
"139",0.831,0.269
"140",0.836,0.164
"141",0.841,0.059
"142",0.845,0.055
"143",0.852,1.548
"144",0.863,1.037
"145",0.878,0.422
"146",0.895,0.605
"147",0.912,0.388
"148",0.93,1.07
"149",0.948,0.552
"150",0.965,2.435
"151",0.98,1.02
"152",0.992,3.208
"153",1.001,0.999
"154",1.007,0.493
"155",1.009,0.291
"156",1.008,0.192
"157",1,0
"158",1,0.1
"159",1.001,0.099
"160",1.003,0.997
"161",1.008,0.292
"162",1.015,0.085
"163",1.022,0.178
"164",1.033,3.867
"165",1.056,1.144
"166",1.085,0.615
"167",1.116,2.084
"168",1.148,1.852
"169",1.176,1.124
"170",1.202,0.698
"171",1.224,0.576
"172",1.243,0.457
"173",1.26,0.34
"174",1.274,0.726
"175",1.286,0.314
"176",1.296,0.304
"177",1.305,0.195
"178",1.312,0.088
"179",1.319,0.581
"180",1.328,0.272
"181",1.337,0.163
"182",1.345,0.155
"183",1.354,0.346
"184",1.363,0.137
"185",1.372,0.528
"186",1.382,0.318
"187",1.392,0.308
"188",1.403,0.197
"189",1.414,0.286
"190",1.424,0.176
"191",1.435,0.765
"192",1.447,0.753
"193",1.463,1.037
"194",1.481,0.619
"195",1.501,0.899
"196",1.525,2.175
"197",1.554,1.546
"198",1.59,2.01
"199",1.633,3.667
"200",1.689,4.011
"201",1.757,2.243
"202",1.825,1.675
"203",1.887,1.713
"204",1.944,1.156
"205",1.996,0.804
"206",2.042,0.958
"207",2.084,0.516
"208",2.123,0.577
"209",2.163,3.437
"210",2.21,1.39
"211",2.261,0.839
"212",2.308,0.992
"213",2.353,0.547
"214",2.397,2.503
"215",2.443,0.857
"216",2.491,1.509
"217",2.539,0.861
"218",2.589,3.611
"219",2.647,2.253
"220",2.713,4.187
"221",2.78,3.22
"222",2.841,1.959
"223",2.895,1.105
"224",2.942,1.858
"225",2.983,3.017
"226",3.017,1.383
"227",3.043,4.457
"228",3.062,3.138
"229",3.072,1.528
"230",3.047,0.953
"231",2.982,0.718
"232",2.919,3.981
"233",2.833,6.067
"234",2.72,2.38
"235",2.602,1.398
"236",2.517,0.783
"237",2.453,1.247
"238",2.382,1.618
"239",2.317,0.683
"240",2.261,1.539
"241",2.199,0.801
"242",2.151,0.449
"243",2.114,0.586
"244",2.079,0.421
"245",2.053,0.247
"246",2.032,0.468
"247",2.01,0.29
"248",1.986,0.614
"249",1.965,0.235
"250",1.945,0.255
"251",1.929,0.171
"252",1.915,0.285
"253",1.904,0.096
"254",1.9,0
"255",1.902,2.298
"256",1.906,1.694
"257",1.909,1.191
"258",1.907,0.493
