"","OBS","DATE","FLOW","DATE2","YEAR","YEAR_CH","MONTH","MONTH_CH","WEEK","DAY","DAY_MONTH","BASEFLOW","QUICKFLOW","RATIO"
"1",1,"01/01/1994",2.2,1994-01-01,1994,"1994",1,"Jan",1,1,31,1.833,0,0
"2",2,"02/01/1994",2.4,1994-01-02,1994,"1994",1,"Jan",1,2,31,1.861,0.539,0.225
"3",3,"03/01/1994",2.5,1994-01-03,1994,"1994",1,"Jan",1,3,31,1.888,0.612,0.245
"4",4,"04/01/1994",2.6,1994-01-04,1994,"1994",1,"Jan",1,4,31,1.914,0.686,0.264
"5",5,"05/01/1994",9.3,1994-01-05,1994,"1994",1,"Jan",1,5,31,1.95,7.35,0.79
"6",6,"06/01/1994",15.9,1994-01-06,1994,"1994",1,"Jan",1,6,31,2.007,13.893,0.874
"7",7,"07/01/1994",5.8,1994-01-07,1994,"1994",1,"Jan",1,7,31,2.073,3.727,0.643
"8",8,"08/01/1994",4.5,1994-01-08,1994,"1994",1,"Jan",2,8,31,2.128,2.372,0.527
"9",9,"09/01/1994",3.9,1994-01-09,1994,"1994",1,"Jan",2,9,31,2.173,1.727,0.443
"10",10,"10/01/1994",3.4,1994-01-10,1994,"1994",1,"Jan",2,10,31,2.207,1.193,0.351
"11",11,"11/01/1994",3.2,1994-01-11,1994,"1994",1,"Jan",2,11,31,2.234,0.966,0.302
"12",12,"12/01/1994",3.1,1994-01-12,1994,"1994",1,"Jan",2,12,31,2.255,0.845,0.273
"13",13,"13/01/1994",3,1994-01-13,1994,"1994",1,"Jan",2,13,31,2.271,0.729,0.243
"14",14,"14/01/1994",2.8,1994-01-14,1994,"1994",1,"Jan",2,14,31,2.283,0.517,0.185
"15",15,"15/01/1994",2.9,1994-01-15,1994,"1994",1,"Jan",3,15,31,2.291,0.609,0.21
"16",16,"16/01/1994",3.2,1994-01-16,1994,"1994",1,"Jan",3,16,31,2.296,0.904,0.282
"17",17,"17/01/1994",2.8,1994-01-17,1994,"1994",1,"Jan",3,17,31,2.298,0.502,0.179
"18",18,"18/01/1994",2.7,1994-01-18,1994,"1994",1,"Jan",3,18,31,2.265,0.435,0.161
"19",19,"19/01/1994",2.6,1994-01-19,1994,"1994",1,"Jan",3,19,31,2.234,0.366,0.141
"20",20,"20/01/1994",2.6,1994-01-20,1994,"1994",1,"Jan",3,20,31,2.204,0.396,0.152
"21",21,"21/01/1994",2.5,1994-01-21,1994,"1994",1,"Jan",3,21,31,2.176,0.324,0.13
"22",22,"22/01/1994",2.5,1994-01-22,1994,"1994",1,"Jan",4,22,31,2.15,0.35,0.14
"23",23,"23/01/1994",2.4,1994-01-23,1994,"1994",1,"Jan",4,23,31,2.125,0.275,0.115
"24",24,"24/01/1994",2.4,1994-01-24,1994,"1994",1,"Jan",4,24,31,2.103,0.297,0.124
"25",25,"25/01/1994",2.4,1994-01-25,1994,"1994",1,"Jan",4,25,31,2.079,0.321,0.134
"26",26,"26/01/1994",2.4,1994-01-26,1994,"1994",1,"Jan",4,26,31,2.053,0.347,0.145
"27",27,"27/01/1994",2.3,1994-01-27,1994,"1994",1,"Jan",4,27,31,2.029,0.271,0.118
