"","Perc_Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",0.01,31.2,40.7,11.6,19.8,40.2,17.7,29.9,29.9,35,40.4,52,60.2
"2",0.1,31.2,40.7,11.6,19.8,40.2,17.7,29.9,29.9,35,40.4,52,60.2
"3",1,24.1,25.6,6.4,8.9,14.5,12.4,11.7,16,12.8,16.4,40.7,32.3
"4",5,13.2,7.6,4.6,4.6,7.4,7.4,7.4,8.2,8.8,11,17.6,16.1
"5",10,8.7,5.3,3.7,3.3,5.5,6.2,6.5,6.5,7.4,8.9,12.7,12.2
"6",15,7.1,4.7,3.3,2.8,4.7,5.7,5.8,6,6.8,7.8,12,9.6
"7",20,6.3,4.2,3,2.6,4.3,5.2,5.4,5.6,6.4,7.3,10.3,8.2
"8",25,5.4,3.9,2.8,2.4,3.9,4.9,5.1,5.3,5.9,6.7,8.8,7.7
"9",30,5,3.8,2.6,2.3,3.5,4.5,4.8,5,5.6,6.2,7.7,7.1
"10",35,4.6,3.5,2.5,2.2,3.2,4.2,4.6,4.8,5.3,5.9,7,6.6
"11",40,4.3,3.3,2.4,2.1,2.9,4,4.4,4.6,5.1,5.5,6.3,5.9
"12",45,4,3.1,2.3,2,2.6,3.7,4.2,4.4,4.8,5.3,5.8,5.3
"13",50,3.8,3,2.2,1.9,2.4,3.6,4,4.2,4.7,5,5.4,4.8
"14",55,3.5,2.8,2,1.8,2.3,3.4,3.9,4,4.5,4.7,5,4.5
"15",60,3.4,2.6,1.9,1.7,2.1,3.2,3.7,3.8,4.2,4.5,4.7,4.3
"16",65,3.2,2.3,1.8,1.6,1.9,3.1,3.6,3.6,4,4.3,4.5,3.9
"17",70,3,2.2,1.8,1.5,1.8,2.9,3.5,3.4,3.7,4,4.3,3.6
"18",75,2.8,2.1,1.7,1.5,1.7,2.7,3.3,3.3,3.5,3.7,3.9,3.3
"19",80,2.6,2,1.6,1.4,1.5,2.5,3.2,3.2,3.3,3.5,3.6,3.1
"20",85,2.4,1.9,1.5,1.3,1.4,2.3,3,3,3,3.2,3.3,2.8
"21",90,2.3,1.8,1.2,1.2,1.3,2.1,2.8,2.5,2.6,2.7,2.9,2.5
"22",95,1.9,1.5,1,1.1,1.1,1.7,2.5,2.2,2.3,2.1,2.5,2.1
"23",99,1.4,1.2,0.7,1,0.9,1.2,1.7,1.9,2,1.2,2.1,1.6
"24",99.9,1.3,1.1,0.6,1,0.8,1.1,1.5,1.8,1.9,1,1.8,1.5
"25",99.99,1.3,1.1,0.6,1,0.8,1,1.5,1.8,1.8,0.9,1.8,1.4
