"","nep","rp","estimate"
"1",0.002,1.00200400801603,19.0517140703108
"2",0.004,1.00401606425703,19.4038289173207
"3",0.01,1.01010101010101,20.0217789343259
"4",0.02,1.02040816326531,20.6565065068343
"5",0.04,1.04166666666667,21.5113606981558
"6",0.05,1.05263157894737,21.8519808404752
"7",0.1,1.11111111111111,23.2137926081327
"8",0.15,1.17647058823529,24.326621206651
"9",0.2,1.25,25.3418530225673
"10",0.25,1.33333333333333,26.3173383083482
"11",0.3,1.42857142857143,27.2848909831698
"12",0.35,1.53846153846154,28.2666813535713
"13",0.4,1.66666666666667,29.2813328763736
"14",0.45,1.81818181818182,30.3470370692997
"15",0.5,2,31.4837839780296
"16",0.55,2.22222222222222,32.7156141457605
"17",0.6,2.5,34.0735856427647
"18",0.65,2.85714285714286,35.600405518343
"19",0.7,3.33333333333333,37.3585402022461
"20",0.75,4,39.4459364867361
"21",0.8,5,42.0302356215312
"22",0.85,6.66666666666667,45.4357565922035
"23",0.9,10,50.4240221321385
"24",0.95,20,59.6042557878777
"25",0.96,25,62.7647326127195
"26",0.98,50,73.3191373272329
"27",0.99,99.9999999999999,85.1342811487386
"28",0.996,250,103.016450684904
"29",0.998,500,118.523402856446
