"","OBS","DATE","FLOW","DATE2","YEAR","YEAR_CH","MONTH","MONTH_CH","WEEK","DAY","DAY_MONTH"
"1",1,"01/01/1994",2.2,1994-01-01,1994,"1994",1,"Jan",1,1,31
"2",2,"02/01/1994",2.4,1994-01-02,1994,"1994",1,"Jan",1,2,31
"3",3,"03/01/1994",2.5,1994-01-03,1994,"1994",1,"Jan",1,3,31
"4",4,"04/01/1994",2.6,1994-01-04,1994,"1994",1,"Jan",1,4,31
"5",5,"05/01/1994",9.3,1994-01-05,1994,"1994",1,"Jan",1,5,31
"6",6,"06/01/1994",15.9,1994-01-06,1994,"1994",1,"Jan",1,6,31
"7",7,"07/01/1994",5.8,1994-01-07,1994,"1994",1,"Jan",1,7,31
"8",8,"08/01/1994",4.5,1994-01-08,1994,"1994",1,"Jan",2,8,31
"9",9,"09/01/1994",3.9,1994-01-09,1994,"1994",1,"Jan",2,9,31
"10",10,"10/01/1994",3.4,1994-01-10,1994,"1994",1,"Jan",2,10,31
"11",11,"11/01/1994",3.2,1994-01-11,1994,"1994",1,"Jan",2,11,31
"12",12,"12/01/1994",3.1,1994-01-12,1994,"1994",1,"Jan",2,12,31
"13",13,"13/01/1994",3,1994-01-13,1994,"1994",1,"Jan",2,13,31
"14",14,"14/01/1994",2.8,1994-01-14,1994,"1994",1,"Jan",2,14,31
"15",15,"15/01/1994",2.9,1994-01-15,1994,"1994",1,"Jan",3,15,31
"16",16,"16/01/1994",3.2,1994-01-16,1994,"1994",1,"Jan",3,16,31
"17",17,"17/01/1994",2.8,1994-01-17,1994,"1994",1,"Jan",3,17,31
"18",18,"18/01/1994",2.7,1994-01-18,1994,"1994",1,"Jan",3,18,31
"19",19,"19/01/1994",2.6,1994-01-19,1994,"1994",1,"Jan",3,19,31
"20",20,"20/01/1994",2.6,1994-01-20,1994,"1994",1,"Jan",3,20,31
"21",21,"21/01/1994",2.5,1994-01-21,1994,"1994",1,"Jan",3,21,31
"22",22,"22/01/1994",2.5,1994-01-22,1994,"1994",1,"Jan",4,22,31
"23",23,"23/01/1994",2.4,1994-01-23,1994,"1994",1,"Jan",4,23,31
"24",24,"24/01/1994",2.4,1994-01-24,1994,"1994",1,"Jan",4,24,31
"25",25,"25/01/1994",2.4,1994-01-25,1994,"1994",1,"Jan",4,25,31
"26",26,"26/01/1994",2.4,1994-01-26,1994,"1994",1,"Jan",4,26,31
"27",27,"27/01/1994",2.3,1994-01-27,1994,"1994",1,"Jan",4,27,31
"28",28,"28/01/1994",2.3,1994-01-28,1994,"1994",1,"Jan",4,28,31
"29",29,"29/01/1994",2.3,1994-01-29,1994,"1994",1,"Jan",5,29,31
"30",30,"30/01/1994",2.3,1994-01-30,1994,"1994",1,"Jan",5,30,31
"31",31,"31/01/1994",2.2,1994-01-31,1994,"1994",1,"Jan",5,31,31
"32",32,"01/02/1994",2.2,1994-02-01,1994,"1994",2,"Feb",5,32,28
"33",33,"02/02/1994",2.1,1994-02-02,1994,"1994",2,"Feb",5,33,28
"34",34,"03/02/1994",2.1,1994-02-03,1994,"1994",2,"Feb",5,34,28
"35",35,"04/02/1994",2.1,1994-02-04,1994,"1994",2,"Feb",5,35,28
"36",36,"05/02/1994",2.1,1994-02-05,1994,"1994",2,"Feb",6,36,28
"37",37,"06/02/1994",2.1,1994-02-06,1994,"1994",2,"Feb",6,37,28
"38",38,"07/02/1994",2.1,1994-02-07,1994,"1994",2,"Feb",6,38,28
"39",39,"08/02/1994",2.4,1994-02-08,1994,"1994",2,"Feb",6,39,28
"40",40,"09/02/1994",2.1,1994-02-09,1994,"1994",2,"Feb",6,40,28
"41",41,"10/02/1994",2,1994-02-10,1994,"1994",2,"Feb",6,41,28
"42",42,"11/02/1994",2,1994-02-11,1994,"1994",2,"Feb",6,42,28
"43",43,"12/02/1994",2,1994-02-12,1994,"1994",2,"Feb",7,43,28
"44",44,"13/02/1994",2,1994-02-13,1994,"1994",2,"Feb",7,44,28
"45",45,"14/02/1994",1.9,1994-02-14,1994,"1994",2,"Feb",7,45,28
"46",46,"15/02/1994",1.9,1994-02-15,1994,"1994",2,"Feb",7,46,28
"47",47,"16/02/1994",1.9,1994-02-16,1994,"1994",2,"Feb",7,47,28
"48",48,"17/02/1994",1.8,1994-02-17,1994,"1994",2,"Feb",7,48,28
