"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"nbr.val",527,476,527,510,527,510,527,527,510,527,510,527
"min",1.3,1.1,0.6,1,0.8,1,1.5,1.8,1.8,0.9,1.8,1.4
"max",31.2,40.7,11.6,19.8,40.2,17.7,29.9,29.9,35,40.4,52,60.2
"range",29.9,39.6,11,18.8,39.4,16.7,28.4,28.1,33.2,39.5,50.2,58.8
"sum",2625.9,1729.1,1233.8,1107.5,1664.1,2015.6,2311.6,2404.7,2527.6,2941.3,3734.8,3444.7
"median",3.7,2.9,2.1,1.9,2.4,3.5,4,4.1,4.6,5,5.3,4.8
"mean",4.983,3.633,2.341,2.172,3.158,3.952,4.386,4.563,4.956,5.581,7.323,6.536
"SE.mean",0.179,0.162,0.05,0.068,0.124,0.089,0.087,0.109,0.108,0.143,0.274,0.249
"CI.mean.0.95",0.352,0.319,0.098,0.135,0.244,0.174,0.17,0.214,0.213,0.281,0.539,0.489
"var",16.941,12.541,1.31,2.393,8.109,4.02,3.962,6.27,6.003,10.757,38.324,32.662
"std.dev",4.116,3.541,1.145,1.547,2.848,2.005,1.99,2.504,2.45,3.28,6.191,5.715
"coef.var",0.826,0.975,0.489,0.712,0.902,0.507,0.454,0.549,0.494,0.588,0.845,0.874
